Functional feeding group	Autotrophic prokaryotes	Autotrophic protist	Carnivorous fish	Corallivoroush fish	Endophytic green algae	Hard Coral	Herbivorous fish	Heterotrophic prokaryotes	Heterotrophic protist	Invertebrate eating fish	Mixotrophic protist	Omnivorous fish	Parasite protist	Piscivorous fish	Predator	Suspension Feeder	Suspension feeder	Symbiosis protist	Unknown
HKBea3Nov	3431.192027	3460.26118	1318	0	0	17284	6286	7140.621426	619.0825233	17284	8746.937492	16217	559.2934783	0	125	5595	2	58.9673913	126.9111253
HKSta1Aug	121.5294394	8208.743478	593	0	0	22865	34262	9448.065795	1995.558397	4416	1783.561736	3731	77.06521739	9	5	1806	0	52.7173913	2378.04329
HKSta1Feb	214.8806995	3835.829814	2370	0	48.57142857	24952	16071	8675.053829	807.5383631	17930	614.9555475	9860	169.9456522	364	3300	1351	0	1018.804348	137.4731144
HKSta1May	3696.132773	28156.68758	16471	46	2.857142857	15890	9924	6254.037047	458.8938619	5382	1289.762108	8201	101.1956522	888	18	4581	0	106.7934783	7317.370248
HKSta1Nov	2985.888538	6115.272361	317	0	598.5714286	20667	3544	5321.649145	324.6014492	20173	7635.11727	19539	569.4021738	0	151	2488	0	8.858695652	210.5217391
HKSta2Aug	192.4206645	13516.98602	2941	0	1.428571429	23164	29309	9405.720795	3565.673486	5611	4177.37801	6369	131.9021739	3	0	717	0	77.55434783	692.9114823
HKSta2Feb	25.84246581	863.6052795	84	7	1.428571429	13673	18320	10096.88676	360.8716966	1336	137.7702168	26552	44.51086957	0	735	13862	0	1451.847826	1985.170045
HKSta2May	4699.31651	32583.0528	501	23	7.142857143	14873	38526	4909.168544	349.1336318	1231	1133.88417	6386	91.08695652	58	30	7162	0	65.70652174	1405.808584
HKSta2Nov	5617.3632	2578.999069	0	0	0	21779	9777	4034.356792	647.4360614	245	4383.771516	38217	409.5652174	0	2	1211	0	43.26086957	4.945652174
HKSta3Aug	152.0668229	1153.061801	1887	0	0	19711	43990	10002.35416	837.5884484	302	882.0361914	1518	69.4021739	0	190	915	0	765.4347826	213.8382353
HKSta3Feb	27.55081579	2305.580435	22	0	0	15795	5742	10184.86816	969.4384057	3097	629.3554378	39348	116.9021739	0	889	9254	0	948.1521739	0.823886369
HKSta3May	5776.502931	39258.57795	13019	17	0	11554	6161	3667.686808	222.8889599	5930	1244.618043	5887	61.90217392	49	585	6185	0	10.32608696	14078.53597
HKSta3Nov	5932.298693	2456.636335	17435	0	215.7142857	15306	10567	3702.633489	462.3188406	3838	10739.75845	8988	826.847826	1	6	1069	0	3.858695652	196.2717391
HKSW1Aug	111.7602369	3301.875465	7897	0	0	15946	18034	10746.81896	2584.305201	2150	3855.887376	10060	203.8043478	21	5641	1199	0	312.7173913	3854.156587
HKSW1Feb	8.815969374	2172.256212	113	0	7.142857143	29150	12399	10091.65146	774.195439	1081	270.8861588	26954	52.0652174	12	1694	1255	0	1126.032609	7657.083289
HKSW1May	4204.189353	17588.23789	0	0	1.428571429	16304	128	5441.11782	765.7097187	141	2437.201163	48011	177.9891304	0	393	3460	0	50.97826087	7.095892238
HKSW1Nov	5552.32895	5881.678881	27	7	0	21133	9617	4384.638461	856.2308183	14757	8968.613445	19294	352.1195652	16	2	630	0	45.86956522	4532.806905
HKSW2Aug	150.1020703	1530.881677	3401	0	0	25609	8813	10666.79561	1576.268116	717	1521.474851	15267	107.8804348	1091	100	336	0	923.9673913	11684.14642
HKSW2Feb	16.99753897	2154.873602	215	0	0	20271	34904	10224.45905	556.5036233	442	162.9596476	9560	63.20652174	0	1152	2824	0	1252.5	3154.121326
HKSW2May	3816.491472	8104.96677	8147	5	0	6791	1154	5944.686639	1023.41006	7516	1006.011042	13136	70.48913042	1	2780	3067	0	115.6521739	3284.15228
HKSW2Nov	244.4444444	1467.428571	603	0	0	33883	21922	4240.775732	0.054347826	7849	13693.23327	17258	240.8152174	0	1	3	1	0	161
HKSW3Aug	146.0502087	1155.482919	5005	0	1.428571429	29507	22932	11173.85458	1080.19821	1087	1296.336063	8777	215.1630435	738	83	390	0	1108.641304	7031.177981
HKSW3Feb	30.82672501	1605.63323	9114	24	0	29373	12568	9494.227395	957.7973145	4054	588.0277981	17084	46.63043478	9	23	1575	0	984.9456522	92.93453156
HKSW3May	6453.071094	6141.319564	7324	9	0	6016	7615	2809.559787	975.9057972	4280	1416.867617	23074	92.77173913	2	389	6632	0	318.4782609	4346.86072
HKSW3Nov	5704.964657	9261.426708	590	0	1.428571429	21431	29164	3688.441674	367.1419437	3087	12500.85125	9653	381.7391304	0	56	921	0	2.282608696	5267.054987
LTCC1Aug	428.3257334	2320.945963	946	0	0	24277	23765	9934.995985	1512.969949	808	615.4743129	17390	62.98913043	376	71	681	0	37.17391304	838.9258312
LTCC1Feb	10.94339623	579.6863354	2514	39	0	1726	10075	10331.05332	374.4309463	1488	453.9402428	33468	19.13043478	13	95	10736	0	1474.891304	446.6297954
LTCC1May	1834.294192	3351.769565	5314	0	0	2246	6587	8381.284572	1206.285166	6354	702.4239841	22049	36.57608695	2	568	6921	0	178.3695652	3998.554199
LTCC1Nov	3554.394832	2325.351553	0	0	0	11175	47826	6156.531077	553.8501705	165	13359.27633	97	298.2065217	0	688	2748	134	13.58695652	0.815217391
LTCC2Aug	696.6968899	2208.069255	1378	0	0	8921	34568	9244.027987	1525.231245	31	1103.180033	10285	94.07608695	6	174	350	0	33.36956522	1670.434783
LTCC2Feb	32.53121867	518.239441	500	322	0	2850	8974	10252.71441	582.8644502	1020	503.0532213	30419	25.70652173	11	120	5667	0	1312.554348	672.5297036
LTCC2May	3500.072271	4694.872361	8069	0	0	4735	22155	6565.4198	1134.968031	5928	722.8740918	9922	63.96739131	36	290	1914	0	274.1847826	407.3048342
LTCC2Nov	4363.555027	4140.76087	25	5	12.85714286	5240	28243	5183.532476	360.6702898	80	14399.80402	19738	632.4456522	107	0	313	9	7.663043478	11
LTCC3Aug	855.3753356	2673.449068	1120	0	0	7917	33776	9083.564884	1563.04561	1995	830.9081822	9043	77.28260869	20	334	1215	0	91.08695652	706.4673913
LTCC3Feb	61.65345	764.8161491	1143	2171	0	8596	7001	11241.2827	658.8533674	2355	457.2245058	33144	33.64130434	355	724	4346	0	1359.456522	1188.93408
LTCC3May	1751.160641	8121.330746	3584	0	2.857142857	6004	11664	8735.127264	1008.191603	3074	1374.945094	22217	48.9673913	1	57	4318	0	91.63043478	4066.128677
LTCC3Nov	2966.583895	13852.0528	664	0	0	3917	18642	6321.641417	187.7440324	16380	12462.87607	7832	404.402174	0	2	23	1683	1.847826087	231.4226343
LTCMW1Aug	396.3530882	7102.620498	1435	0	0	4944	8595	9514.003662	2203.820332	1232	1203.379511	18977	109.673913	9	16661	1027	0	133.8586957	338.4320054
LTCMW1Feb	31.26241911	5306.494721	5296	22	0	13441	6841	10189.76689	4499.016411	127	1351.102687	27501	154.6195653	27	78	6128	0	459.0217391	2731.579284
LTCMW1May	2071.931418	6304.438509	3804	0	0	10065	5150	8130.963964	1205.518969	8403	771.7937828	17903	39.51086956	28	276	2767	0	107.2282609	211.6160859
LTCMW1Nov	2587.059395	8852.390062	2608	0	2.857142857	19457	27	7125.500007	1525.888747	1	7416.881013	36890	92.33695652	0	5	2483	112	36.68478261	92.73401534
LTCMW2Aug	535.3332989	4659.99472	795	0	1.428571429	10254	5068	9429.000462	2585.214194	2867	1361.083557	19577	66.57608696	6	13945	1556	0	127.5543478	92.09313072
LTCMW2Feb	44.60851335	9286.141615	2975	25	0	15539	3549	10041.88819	1457.653453	480	971.7313665	35112	79.29347826	1169	1036	7185	0	212.8804348	2397.547232
LTCMW2May	145.5576495	4252.573602	665	0	0	8032	4225	9939.356716	1085.804561	22633	1163.992307	15435	51.19565217	48	1	105	0	302.7173913	2426.809977
LTCMW2Nov	3995.427061	11465.40031	3130	0	1.428571429	14425	2219	5469.039594	656.468457	5567	10858.97627	24226	131.6847826	1905	0	828	57	1.141304348	2354.292199
LTCMW3Aug	250.1650789	2939.670807	236	0	0	2033	31796	9896.630959	1732.789855	3117	2224.230504	8810	84.29347827	3063	23288	4475	0	98.20652174	1176.93798
LTCMW3Feb	45.12077295	8240.299069	9158	16	8.571428571	14553	3969	10256.97502	866.2222934	145	629.090803	27852	106.3586957	2181	72	9277	0	564.6195652	472.005629
LTCMW3May	280.7961264	3770.126088	248	0	0	7573	6184	10632.7655	1282.210145	712	1229.738156	30056	46.14130435	20	5	1398	0	167.8804348	43.38320415
LTCMW3Nov	2962.057331	18523.25715	2257	0	0	13102	9995	6623.260212	1090.429454	22215	9692.260585	9946	127.1195652	0	1565	29	0	0.326086957	1864.217391
LTPC1Aug	366.1194689	8648.122361	5080	0	0	18416	15208	9810.341902	1246.306479	9517	1450.40398	7488	140.923913	27	567	3387	0	49.89130435	10920.84904
LTPC1Feb	42.79246686	935.3295032	15082	23	0	8503	15529	10298.50679	3246.231884	359	624.992236	14140	16.90217391	13	241	5160	0	1100.271739	3078.623402
LTPC1May	4095.115785	11144.96988	259	0	0	820	23087	5775.235798	896.3672208	155	959.902316	11967	45.4347826	0	40	3301	0	154.1847826	9223.032048
LTPC1Nov	4560.289817	8322.792236	423	0	0	20532	39479	5068.036161	668.9897698	345	12780.07754	4891	211.1956522	0	26	1879	0	6.467391304	2835.696931
LTPC2Aug	465.5931315	5214.6059	167	0	0	23526	32258	9599.752908	1627.119565	4068	917.2738299	6037	204.0217391	24	410	2819	0	72.06521739	5715.884848
LTPC2May	873.9502897	19124.5	2348	0	2.857142857	1689	14806	9731.53731	652.9710145	8520	1320.910314	15699	63.75000001	4	177	1990	0	25.70652174	1574.648773
LTPC2Nov	4675.802692	8273.5941	1931	0	0	28387	25916	5028.811013	876.5622336	370	5132.593523	11078	185.5434783	0	129	1022	7	45.2173913	36.5326087
LTPC3Aug	523.120364	4870.637889	126	0	0	29371	23842	9180.470463	1124.963768	531	1171.84676	20721	121.7391304	99	102	788	0	82.66304348	2886.464006
LTPC3Feb	9.433962264	16812.22826	8734	17	4.285714286	15114	17691	9253.439786	577.4307331	1597	525.191004	16013	33.58695652	28	720	5434	0	815.5434783	3873.294694
LTPC3May	4323.112181	19519.74162	6754	0	0	15151	15301	5624.272507	856.9927536	1396	1616.395638	17549	50.70652173	4	294	1013	0	95.43478261	5769.063562
LTPC3Nov	1697.117861	33307.70031	0	0	1.428571429	21453	20	8064.594511	2478.985507	18	3132.551152	48242	108.2608696	0	3	717	2	0.706521739	0.054347826
SKBlu1Aug	5441.113731	3662.881676	2728	4	0	17298	127	3587.762747	1210.382566	34859	4180.484311	6046	197.826087	0	34	3330	0	26.30434783	4505.918798
SKBlu1Feb	414.9758454	39827.69876	718	0	80	3612	7514	9538.725718	287.7717391	3762	2056.050065	23351	50.59782609	869	26289	1248	0	40.05434783	9220.823529
SKBlu1May	8025.947854	10042.93044	2296	0	0	15753	10656	1044.566584	2997.735507	28602	7680.696372	4856	426.9565218	0	24	219	0	46.30434783	1360.110363
SKBlu1Nov	2119.021237	5477.766149	633	0	1.428571429	26498	29765	7927.006098	861.2393436	5112	6106.044127	12169	515.8152174	0	4	637	1	1.793478261	477.786445
SKBlu2Aug	4409.850746	1807.291615	2892	1010	0	15315	7865	4228.234388	1539.700554	13273	2393.914312	12591	227.9347826	0	57	828	0	35.32608696	3602.998721
SKBlu2Feb	94.48300765	30944.60715	1661	0	27.14285714	18359	8555	10088.79119	603.8224639	13047	1280.957963	24091	87.66304348	25	4188	4863	0	177.4456522	635.1585678
SKBlu2May	7550.537249	9887.183229	9786	0	11.42857143	16797	10654	1493.339539	3987.784527	10875	3276.322667	8851	218.5869565	0	6	361	0	82.11956522	1540.395572
SKBlu2Nov	3991.554138	4604.06584	817	0	0	23175	17526	5968.499881	948.8746803	6647	4157.236989	15943	541.9565218	1	9	56	0	4.130434783	7170.067136
SKBlu3Aug	4057.645793	1518.15559	13	0	0	13531	4492	4676.910668	988.9268969	21631	2853.120458	19004	115.8695652	7	24	2353	1	28.42391304	22.0786445
SKBlu3Feb	115.4589372	34654.21708	1363	0	51.42857143	8649	3087	9805.245219	506.9789003	15576	1420.847745	20168	92.06521739	10	12454	1990	0	102.9891304	264.8734015
SKBlu3May	7117.559405	11830.11273	122	0	1.428571429	13692	18724	2105.067786	5401.272379	6322	5674.586479	8872	269.1847826	0	107	469	0	113.0434783	416.0312475
SKBlu3Nov	3044.931692	4873.87205	18639	0	4.285714286	18690	21233	6771.184526	1039.492754	132	5398.377634	4261	504.5108696	0	3	1750	0	3.804347826	80.66304348
SKLKW1Aug	4878.174515	12667.40311	7696	7	14.28571429	12388	2740	3716.680499	881.9021739	37310	1134.603378	446	161.6847826	0	94	5471	0	298.2065217	60.50312632
SKLKW1Feb	243.8847871	42260.43478	282	7	1.428571429	15785	7412	10051.40055	169.6376812	972	1688.994033	19548	38.42391304	46	721	2566	0	13.42391304	873.3395141
SKLKW1May	6626.138601	13881.9882	338	0	38.57142857	17179	3255	2787.873079	1846.194587	3072	3319.519293	6634	141.6304348	4	7	278	0	260.4891304	34332.43127
SKLKW1Nov	4136.199406	8903.303727	45267	0	7.142857143	26370	1019	5709.849212	932.5255754	247	7169.776114	856	298.75	0	4	422	0	1.467391304	522.0658568
SKLKW2Aug	4934.959844	19802.57547	8229	7	22.85714286	24293	8292	3636.949616	890.4944586	25416	1695.070485	5124	142.0108696	0	248	3177	0	249.2391304	1063.217027
SKLKW2Feb	305.3887522	40091.89254	688	0	1.428571429	18360	20493	10276.47772	151.3043478	6255	1015.0579	16544	27.01086956	34	121	1471	0	91.0326087	3709.289642
SKLKW2May	5458.588652	13235.99099	839	0	17.14285714	15740	16225	4153.373099	2019.945652	9517	3108.431474	7015	113.5326087	3	1	612	0	191.0869565	4914.050053
SKLKW2Nov	2530.324486	14098.1705	4373	5	1.428571429	24352	6735	7613.6132	792.0343137	282	5677.260889	16481	280.652174	0	52	4005	0	12.66304348	47.90728901
SKLKW3Aug	4363.83643	14048.19317	116	9	70	19745	17854	3763.883976	906.8840579	26145	2285.772084	321	397.0652174	0	21	8088	0	503.6956522	3500.177981
SKLKW3Feb	39.77331847	41812.66335	495	0	4.285714286	20994	20780	10276.91122	123.7681159	9592	880.0685056	16902	21.08695652	9	206	1909	0	69.18478261	377.4142909
SKLKW3May	5642.005884	14453.69503	3980	0	45.71428571	17597	8959	3926.719127	2337.717391	5559	3706.176572	16729	120.0543478	0	0	303	0	202.9347826	7880.613509
SKLKW3Nov	3174.877755	16511.63168	73	0	11.42857143	27911	27628	6676.633189	773.1383205	3405	10211.01028	14072	187.3369565	0	9	782	2	6.304347826	2466.779412
SKSha1Aug	6165.393165	1171.178882	294	0	1.428571429	17705	1372	3210.960811	1375.380435	42035	4318.27452	2060	303.6956521	12	15	3541	1	123.9673913	479.8081841
SKSha1Feb	4.150943396	42031.66398	899	20	12.85714286	18541	2173	6753.718992	122.826087	11618	1696.186214	21340	28.04347826	24	49	9208	0	20.70652174	612.5792839
SKSha1May	7748.744611	3110.827019	9056	0	1.428571429	17094	8782	1527.904374	2244.764493	5022	1767.462601	24220	197.5	0	137	784	0	539.2934783	52.74001302
SKSha1Nov	6378.735709	10614.80621	28	0	0	18544	361	3013.20938	190.4624893	30	13679.14703	32196	391.2499999	0	9	208	0	1.086956522	5900.706522
SKSha2Aug	5839.535774	1077.200932	4041	0	4.285714286	20656	42	3668.518997	1595.507246	41761	4595.3338	82	215.4887826	2336	7	1373	0	104.5108696	16.58951407
SKSha2Feb	6.79245283	42346.62019	12930	3941	4.285714286	18027	4754	6996.863081	98.49637681	564	2343.650641	25101	20.05434782	52	8	4219	0	15.86956522	954.4117647
SKSha2May	6615.662359	9307.967392	33076	0	0	17110	7550	2640.119999	4222.13768	669	2052.302145	2395	347.3369565	4	170	3754	0	76.63043478	1937.296781
SKSha2Nov	4505.310474	12842.24317	0	0	0	18891	15	4936.676829	305.3729753	12914	9633.023383	18461	386.3586956	0	1	731	1	13.31521739	50.67966752
SKSha3Aug	5754.8589	1795.550621	720	855	1.428571429	17868	3040	3605.99672	1917.536232	40381	5178.942374	931	410.1086957	477	18	867	0	96.0326087	14.89827484
SKSha3Feb	7.169811321	39521.24721	3667	27	5.714285714	18315	1714	7206.505542	168.011509	1250	3198.548898	38045	32.33695652	3301	66	1697	0	18.47826087	221.8848791
SKSha3May	7294.076748	6526.17764	5744	0	0	19814	25501	1834.809022	3498.278986	6788	1698.462682	4925	222.3913044	58	5	1524	0	70.92391304	2651.438384
SKSha3Nov	5583.599734	5284.135714	126	0	10	19146	28398	3886.17206	501.4300938	15697	9428.802572	369	552.3369565	0	0	1116	0	3.097826087	3651.641304
