sample	pH	Temperature	Salinity	Turbidity	DO	TP	SiO3	NH3	NO2	NO3	Allphyto	EukPhyto	Cyano	HP	Network_complexity	ProkRich	ProtistRich	BenRich	FishRich	Mixotroph	Decomposer	Hard Coral	Primary producer	The primary consumers/Herbivorous fish/detritivore	The secondary consumer groups/ predator	The tertiary consumer	Unknown	Consumer	PC_sum_Phy_noTem	PC_sum_Nutrient	Both
HKSW1Nov	8.3	24.609	33.0735	4.12	7.294	0	0.093	0.001	0.003	0.104	96018.17874	26425.69397	69551.96344	765496.8636	0.164687334	220	249	137	27	8968.613445	4384.638461	21133	11434.00783	11501.21995	34087	16	4532.806905	45604.21995	0.642956803	-0.019909034	30101.61345
HKSW2Aug	8.13	26.2502	32.067	1.274	4.7648	0.007	0.159	0.03	0.024	0.164	21155.18035	13661.62701	7427.935533	1636365.424	0.422864806	292	238	295	68	1521.474851	10666.79561	25609	1680.983747	11757.11594	19485	1091	11684.14642	32333.11594	-0.677175478	0.05256025	27130.47485
HKSW2Feb	8.25	18.09133333	33.27466667	4.823333333	9.657	0.002	0.074	0	0	0	4345.823053	3676.771237	650.9693338	1254485.181	0.281254275	214	158	304	40	162.9596476	10224.45905	20271	2171.871141	39600.21015	11369	0	3154.121326	50969.21015	0.520416825	-0.104657871	20433.95965
HKSW2May	8.104	24.038	33.7635	2.07	6.626	0.066	0.104	0	0	0.106	119050.7253	30968.21672	87469.7099	1425109.178	0.261444905	207	225	291	48	1006.011042	5944.686639	6791	11921.45824	5430.551364	31584	1	3284.15228	37015.55136	-0.751771855	-0.013908123	7797.011042
HKSW2Nov	8.385	24.6045	33.076	4.015	7.3595	0	0.085	0.001	0	0.096	97799.87024	19843.98789	77704.41176	937776.6019	0.344837042	66	18	79	33	13693.23327	4240.775732	33883	1711.873016	22166.86957	25711	0	161	47877.86957	0.548807357	-0.029231253	47576.23327
HKSW3Aug	8.05	25.31866667	32.80866667	1.946666667	3.453333333	0.01	0.245	0.026	0.038	0.174	18817.99065	12179.08879	6585.630841	1339260.561	0.375904628	293	214	264	71	1296.336063	11173.85458	29507	1301.533128	25727.43113	14952	738	7031.177981	41417.43113	0.082328778	0.096791225	30803.33606
HKSW3Feb	8.25	18.106	33.273	1.244943	9.687	0.057	0.093	0	0	0.003	4454.191617	3680.538922	750.8982036	1145605.947	0.232886688	174	219	215	60	588.0277981	9494.227395	29373	1636.459955	16132.3734	30299	9	92.93453156	46440.3734	-2.1046756	-0.094458836	29961.0278
HKSW3May	8.1025	24.049	33.7625	2.105	6.633	0.009	0.093	0.038	0	0.1	119097.4216	30092.17877	88601.07434	1522528.847	0.265060725	180	258	261	43	1416.867617	2809.559787	6016	12594.39066	15634.1558	35076	2	4346.86072	50712.1558	-0.727896988	-0.022880769	7432.867617
HKSW3Nov	8.37	24.471	33.06966667	3.846666667	7.163333333	0	0.089	0.002	0	0.097	145822.7053	30078.74396	115569.5652	992067.1291	0.260051238	224	227	251	37	12500.85125	3688.441674	21431	14966.39137	30837.59225	13386	0	5267.054987	44223.59225	0.477514537	-0.026779656	33931.85125
LTCC1Aug	8.28	27.115	29.556	3.5	7.185	0.005	0.158	0	0.038	0.278	25967.10165	18021.94368	7868.818681	1624514.496	0.46185051	241	210	302	76	615.4743129	9934.995985	24277	2749.271696	26059.13299	19215	376	838.9258312	45650.13299	0.572633141	0.136098662	24892.47431
LTCC1Feb	7.95	18.3955	32.4525	0.85	8.7565	0.063	0.055	0.108	0.004	0.006	4113.078666	3841.825834	260.1812884	939897.9701	0.09945873	143	212	218	62	453.9402428	10331.05332	1726	590.6297317	22679.45269	37604	13	446.6297954	60296.45269	-2.06796597	-0.108559855	2179.940243
LTCC1May	8.072	24.057	32.85425	3.395	7.80725	0	0.044	0.043	0.107	0.117	33899.12023	25764.22287	8012.316716	2200518.603	0.116022484	207	239	256	58	702.4239841	8381.284572	2246	5186.063757	14929.23082	34285	2	3998.554199	49216.23082	0.000811893	-0.031344373	2948.423984
LTCC1Nov	8.19	24.1895	32.67016667	4.2	7.337166667	0	0.168	0.07	0.019	0.142	82819.25489	16595.38916	65990.48322	1077062.714	0.155537957	249	224	224	8	13359.27633	6156.531077	11175	5879.746384	51573.64365	950	0	0.815217391	52523.64365	0.73088244	0.040236123	24534.27633
LTCC2Aug	8.19	25.152	32.10725	7.2525	4.18125	0.021	0.283	0	0.054	0.188	25658.47934	19462.90909	6076.859504	1491889.692	0.473597448	263	221	160	61	1103.180033	9244.027987	8921	2904.766145	36570.6769	11868	6	1670.434783	48444.6769	3.844066431	0.123364235	10024.18003
LTCC2Feb	8.13	18.413	32.482	1.37	8.814	0.044	0.072	0.083	0.022	0.015	4027.002762	3696.339779	318.8535912	984205.8727	0.081945966	164	250	211	64	503.0532213	10252.71441	2850	550.7706597	16562.12532	32381	11	672.5297036	48954.12532	-1.705591135	-0.094587877	3353.053221
LTCC2May	8.2	24.19	32.31933333	2.096666667	9.022	0	0.002	0.019	0.052	0.115	24252.59939	19918.04281	4259.021407	1914049.591	0.149023801	177	248	303	34	722.8740918	6565.4198	4735	8194.944632	25542.1202	24209	36	407.3048342	49787.1202	-1.211947808	-0.050825861	5457.874092
LTCC2Nov	8.28	24.096	32.68133333	4.018333333	7.806166667	0	0.174	0.001	0.019	0.131	97203.73002	19104.61812	77754.88455	1042002.112	0.229393348	229	156	165	28	14399.80402	5183.532476	5240	8504.315897	29578.63613	19848	107	11	49533.63613	0.474473016	0.034707217	19639.80402
LTCC3Aug	8.29	27.194	29.50383333	2.515	6.943	0.015	0.189	0	0.034	0.314	24801.78571	17478.86905	7277.678571	1637868.67	0.460237984	250	205	246	75	830.9081822	9083.564884	7917	3528.824404	36722.41518	12492	20	706.4673913	49234.41518	-0.079430442	0.175876208	8747.908182
LTCC3Feb	8.144	18.395	32.47	1.45	8.915	0.02	0.097	0.135	0.012	0.01	2352	1956	396	1081952.107	0.129719563	131	250	301	60	457.2245058	11241.2827	8596	826.4695991	13398.95119	39537	355	1188.93408	53290.95119	-1.672224142	-0.087482481	9053.224506
LTCC3May	7.63	24.177	32.329	1.86	9.02	0	0.01	0.012	0.016	0.139	23204.9405	18055.82402	5081.283808	2788828.053	0.151145883	184	243	267	40	1374.945094	8735.127264	6004	9872.491387	17133.64657	28932	1	4066.128677	46066.64657	-1.385511675	-0.029719576	7378.945094
LTCC3Nov	8.28	24.11275	32.67608333	4.364166667	7.678666667	0	0.166	0.041	0.022	0.135	82363.36634	16502.9703	65708.91089	997241.1353	0.284749497	234	188	136	28	12462.87607	6321.641417	3917	16818.63669	20941.99403	24878	0	231.4226343	45819.99403	0.761239618	0.034223047	16379.87607
LTCMW1Aug	8.39	28.059	29.537	3.225	7.7855	0.003	0.17	0	0.014	0.249	17542.57522	13210.87027	4232.125526	1965774.493	0.423692825	191	239	224	68	1203.379511	9514.003662	4944	7498.973586	12069.35294	38305	9	338.4320054	50383.35294	0.216677199	0.119891038	6147.379511
LTCMW1Feb	8.064	18.983	32.5725	5.24	8.5445	0.004	0.091	0.026	0	0	8142.342911	7731.986107	372.5607831	1130481.447	0.102245902	164	127	255	63	1351.102687	10189.76689	13441	5337.75714	18081.65772	33024	27	2731.579284	51132.65772	1.186348073	-0.09737444	14792.10269
LTCMW1May	8.27	24.434	32.17033333	2.5	9.142666667	0.017	0.079	0.014	0	0.162	18746.20253	15094.93671	3582.911392	1773672.238	0.131425709	178	211	316	33	771.7937828	8130.963964	10065	8376.369927	9269.258099	30386	28	211.6160859	39683.2581	-0.933393705	0.016756799	10836.79378
LTCMW1Nov	8.33	24.0465	32.3835	8.37	7.2485	0.003	0.181	0.001	0.001	0.156	155336.6803	51930.7377	102897.8484	2800508.2	0.236936357	249	255	202	13	7416.881013	7125.500007	19457	11439.44946	4279.767629	39504	0	92.73401534	43783.76763	3.833099466	0.056112661	26873.88101
LTCMW2Aug	8.35	28.109	29.535	4.04	7.534	0.007	0.189	0	0.022	0.25	27295.66678	22958.91837	4273.563991	2034321.936	0.462169689	282	225	223	54	1361.083557	9429.000462	10254	5195.328019	9404.7732	37184	6	92.09313072	46594.7732	0.878652513	0.128762805	11615.08356
LTCMW2Feb	8.14	18.884	32.574	6.235	8.8335	0	0.107	0.038	0.004	0.005	10977.48252	10541.01399	412.5524476	1319014.239	0.100165534	153	234	260	68	971.7313665	10041.88819	15539	9330.750128	12483.82737	39628	1169	2397.547232	53280.82737	1.838569477	-0.086820116	16510.73137
LTCMW2May	8.3	24.47666667	32.16666667	4.71	8.912333333	0	0.057	0	0.035	0.146	18497.38372	15084.01163	3380.232558	1626157.984	0.153739652	149	247	111	43	1163.992307	9939.356716	8032	4398.131252	5769.717604	38734	48	2426.809977	44551.7176	0.743604992	-0.0044117	9195.992307
LTCMW2Nov	8.33	24.151	32.4045	8	7.4645	0	0.196	0.055	0.007	0.144	124119.2788	37820.80444	85887.37864	2466559.531	0.302521481	190	258	177	23	10858.97627	5469.039594	14425	15460.82737	3894.723115	32923	1905	2354.292199	38722.72312	3.50397045	0.053714784	25283.97627
LTCMW3Aug	8.32	28.40266667	29.48766667	3.35	7.349666667	0.016	0.229	0	0.019	0.184	18613.84774	14455.18429	4123.320703	2223782.017	0.425163121	231	239	241	55	2224.230504	9896.630959	2033	3189.835886	38186.28986	35451	3063	1176.93798	76700.28986	0.426830498	0.097278747	4257.230504
LTCMW3Feb	8.18	18.989	32.564	5.25	8.89	0.036	0.108	0	0.002	0.005	8701.38102	8313.845609	369.3696884	1250276.382	0.167118173	150	192	246	59	629.090803	10256.97502	14553	8285.419842	14791.77198	37243	2181	472.005629	54215.77198	1.104349237	-0.086494217	15182.0908
LTCMW3May	8.29	24.5575	32.156	3.47	8.634	0	0.042	0.108	0.217	0.225	15688.77762	12346.71961	3318.439227	1087609.703	0.149663152	202	250	187	33	1229.738156	10632.7655	7573	4050.922214	9078.231884	31021	20	43.38320415	40119.23188	-0.089682261	0.047340526	8802.738156
LTCMW3Nov	8.3	24.252	32.3775	7.395	7.395	0.018	0.218	0.001	0.005	0.154	99816.47643	38400.74442	61237.51861	1555968.114	0.212204237	221	80	110	26	9692.260585	6623.260212	13102	21485.31448	11241.87511	35983	0	1864.217391	47224.87511	3.082301664	0.070461401	22794.26058
LTPC1Aug	8.113	26.879	30.215	15.95	4.624	0.035	0.323	0.005	0.044	0.547	42124.23685	31979.95587	9999.632218	1705749.388	0.363589759	273	260	349	35	1450.40398	9810.341902	18416	9014.241829	20032.1217	22652	27	10920.84904	42711.1217	10.28117203	0.404880142	19866.40398
LTPC1Feb	8.16	18.909	32.23225	2.14	9.47675	0.025	0.113	0.081	0	0.001	3320.500677	2967.625169	347.0906631	650729.4925	0.066863463	163	107	290	56	624.992236	10298.50679	8503	978.12197	25052.4058	29845	13	3078.623402	54910.4058	-1.290152586	-0.087264933	9127.992236
LTPC1May	8.21	24.095	32.2968	3.91	8.3694	0.005	0.043	0.014	0.126	0.204	16967.60391	12710.02445	4229.706601	1273428.773	0.119810105	198	249	216	39	959.902316	5775.235798	820	15240.08566	27483.98679	12421	0	9223.032048	39904.98679	0.287015386	0.032288424	1779.902316
LTPC1Nov	8.31	24.921	32.623	3.28	7.406	0.006	0.17	0.053	0.017	0.202	57839.97043	17968.06309	39652.78462	721809.0452	0.312730631	247	237	319	28	12780.07754	5068.036161	20532	12883.08205	42244.65281	5685	0	2835.696931	47929.65281	0.044736103	0.085266771	33312.07754
LTPC2Aug	8.11	25.986	30.7175	14.7	4.229	0.027	0.321	0.012	0.043	0.616	68270.31419	59797.50813	8343.12026	1628475.41	0.402498405	244	247	317	39	917.2738299	9599.752908	23526	5680.199032	36980.20652	10682	24	5715.884848	47686.20652	9.419267023	0.454864241	24443.27383
LTPC2May	8.22	24.028	32.108	3.56	8.128	0	0	0.021	0	0.174	38653.06049	31555.4147	6998.55125	1685232.309	0.151374082	197	222	198	38	1320.910314	9731.53731	1689	19998.45029	17541.28468	26744	4	1574.648773	44289.28468	0.113048158	-0.008229665	3009.910314
LTPC2Nov	8.32	24.95933333	32.61766667	4.47	7.109333333	0	0.178	0.001	0.017	0.17	71668.21761	28110.34359	43392.62706	884648.3973	0.332519674	250	265	267	22	5132.593523	5028.811013	28387	12949.39679	28052.3231	13508	0	36.5326087	41560.3231	0.993130999	0.065145971	33519.59352
LTPC3Aug	8.11	26.5705	30.349	15.655	4.9635	0.031	0.334	0.007	0.037	0.257	72948.40116	62242.26017	10575.65407	1657223.497	0.350865369	185	259	281	51	1171.84676	9180.470463	29371	5393.758253	25959.36594	21480	99	2886.464006	47538.36594	9.963274622	0.196021883	30542.84676
LTPC3Feb	8.2	19.124	32.245	3.06	9.394	0.031	0.158	0.074	0.012	0.01	3386.742301	3031.993517	354.7487844	722370.0103	0.170433596	134	170	301	59	525.191004	9253.439786	15114	16821.66222	24555.84688	27081	28	3873.294694	51664.84688	-0.596903363	-0.061358742	15639.191
LTPC3May	8.24	23.98375	31.93125	4.125	8.05925	0	0.046	0	0.107	0.19	41646.19679	33639.14864	7857.885555	2061444.682	0.103701788	174	244	307	69	1616.395638	5624.272507	15151	23842.8538	17317.13406	25993	4	5769.063562	43314.13406	0.562087701	0.023277975	16767.39564
LTPC3Nov	8.36	25.00333333	32.62966667	4.806666667	7.816666667	0.012	0.171	0.001	0.017	0.159	43401.24434	15926.47059	27397.39819	454808.046	0.248484697	193	97	271	7	3132.551152	8064.594511	21453	35004.81817	3328.38147	48263	0	0.054347826	51591.38147	1.053573349	0.054008721	24585.55115
SKBlu1Aug	8.27	28.37033333	33.418	0.296666667	7.861	0.011	0.172	0	0	0.288	81262.6652	4453.909692	76752.25771	1169116.919	0.513737084	252	250	285	33	4180.484311	3587.762747	17298	9103.995408	4891.513001	43671	0	4505.918798	48562.513	-2.336359755	0.149449384	21478.48431
SKBlu1Feb	7.86	18.78633333	33.603	5.623333333	8.457666667	0.036	0.191	0	0.033	0.036	20666.87117	18747.67232	1906.85673	625257.9814	0.888595741	206	177	241	40	2056.050065	9538.725718	3612	40242.6746	9220.423913	54120	869	9220.823529	64209.42391	1.385478068	-0.028074403	5668.050065
SKBlu1May	8.1167	24.875	33.83466667	0.593333333	7.369	0.024	0.06	0	0	0.02	107318.0562	10806.63289	96078.21281	622648.3884	0.344340596	112	241	249	38	7680.696372	1044.566584	15753	18068.87829	14345.99638	35778	0	1360.110363	50123.99638	-2.03297625	-0.095993483	23433.69637
SKBlu1Nov	8.24	23.287	33.166	5.41	7.087	0	0.114	0.001	0.013	0.099	73496.76026	19371.38229	53922.24622	615857.3876	0.522053704	259	274	282	27	6106.044127	7927.006098	26498	7596.787386	31783.27661	17918	0	477.786445	49701.27661	1.631229216	-0.014587315	32604.04413
SKBlu2Aug	8.23	28.457	33.43425	0.7575	8.115	0.014	0.164	0	0	0.411	77151.67307	5215.359298	71898.7932	1167550.41	0.46202844	217	256	283	40	2393.914312	4228.234388	15315	6217.14236	10495.96142	29823	0	3602.998721	40318.96142	-2.067210142	0.236600632	17708.91431
SKBlu2Feb	8.1167	18.977	33.583	3.36	8.2635	0.052	0.188	0	0.003	0.005	17848.30769	16112	1730.461538	675265.5429	0.766818553	239	192	281	39	1280.957963	10088.79119	18359	31039.09016	14314.07402	42987	25	635.1585678	57326.07402	-0.217356366	-0.052238073	19639.95796
SKBlu2May	8.1575	24.8965	33.831	1.145	7.5775	0.034	0.046	0	0.023	0.079	109980.7692	12601.7094	97013.67521	688496.5926	0.360689794	157	246	252	49	3276.322667	1493.339539	16797	17437.72048	15314.91962	29518	0	1540.395572	44832.91962	-1.683502757	-0.058571143	20073.32267
SKBlu2Nov	8.29	23.336	33.159	3.24	7.141	0	0.12	0.001	0.008	0.109	71793.25513	19657.47801	51935.19062	636461.819	0.49596991	229	270	240	33	4157.236989	5968.499881	23175	8595.619978	19076.96164	23416	1	7170.067136	42493.96164	0.030584911	-0.004649633	27332.23699
SKBlu3Aug	8.2467	28.026	33.456	0.06	7.736	0.018	0.162	0	0	0.488	83216.51376	6144.495413	77011.00917	1400170.854	0.487436348	213	246	269	22	2853.120458	4676.910668	13531	5575.801384	7979.220375	40672	7	22.0786445	48658.22038	-2.480679714	0.292442473	16384.12046
SKBlu3Feb	8.1	18.9505	33.589	6.835	8.285	0.036	0.178	0	0.028	0.018	20977.45957	19133.7938	1803.33558	717305.6625	0.862873294	236	190	276	39	1420.847745	9805.245219	8649	34769.67602	5830.461819	49561	10	264.8734015	55401.46182	2.318232927	-0.046905531	10069.84774
SKBlu3May	8.17	24.857	33.831	0.25	7.499	0.051	0.055	0	0.091	0.076	125513.5135	13418.91892	111494.5946	586767.3869	0.342231367	155	248	288	48	5674.586479	2105.067786	13692	18947.67214	24977.92921	15423	0	416.0312475	40400.92921	-2.317667456	-0.056970275	19366.58648
SKBlu3Nov	8.29	23.305	33.162	4.47	7.078	0	0.111	0.001	0	0.085	65396.06259	14717.56689	50523.11964	596878.4094	0.493548795	227	272	248	17	5398.377634	6771.184526	18690	7918.803742	24535.09369	23035	0	80.66304348	47570.09369	0.946413928	-0.026184692	24088.37763
SKLKW1Aug	8.03	24.46758333	34.01041667	0.583333333	5.23425	0.016	0.186	0	0	0.25	97131.16016	11920.84189	85131.31417	1285910.127	0.53794193	241	239	268	34	1134.603378	3716.680499	12388	17545.57762	9567.079193	45553	0	60.50312632	55120.07919	-1.500875337	0.127450766	13522.60338
SKLKW1Feb	7.85	18.53933333	33.59566667	2.393333333	8.768333333	0.007	0.189	0	0	0	47786.06883	45313.30245	2461.449371	1064637.483	0.900048818	179	172	290	53	1688.994033	10051.40055	15785	42504.31956	10200.91408	21530	46	873.3395141	31776.91408	-1.057461102	-0.055363227	17473.99403
SKLKW1May	7.9375	24.708	33.835	2.3	7.384	0.002	0.034	0	0.004	0.101	95637.43523	11436.9171	83801.81347	727838.8168	0.334644368	186	256	362	54	3319.519293	2787.873079	17179	20508.1268	5819.885581	10051	4	34332.43127	15874.88558	-0.788575057	-0.047421888	20498.51929
SKLKW1Nov	8.3	23.423	33.1155	3.285	7.0995	0	0.109	0.001	0	0.091	72474.06807	18575.81037	53780.47002	632398.7024	0.595772601	281	265	287	25	7169.776114	5709.849212	26370	13039.50313	2680.885824	46374	0	522.0658568	49054.88582	0.078718153	-0.022623214	33539.77611
SKLKW2Aug	8.13	24.207	34.049	0.88	5.163	0.02	0.178	0	0	0.386	98378.66109	14330.06575	83925.94142	1356089.751	0.471847481	242	246	276	36	1695.070485	3636.949616	24293	24737.53531	12773.6016	39024	0	1063.217027	51797.6016	-1.26917286	0.22417371	25988.07048
SKLKW2Feb	8.0817	18.24133333	33.57666667	3.78	8.558	0.007	0.183	0	0	0	55047.78013	52926.84989	2090.803383	1284704.691	0.797486755	159	162	295	45	1015.0579	10276.47772	18360	40397.28129	22234.7764	23608	34	3709.289642	45876.7764	0.013633055	-0.057935867	19375.0579
SKLKW2May	8.15	24.4705	33.8585	1.34	7.7555	0.053	0.048	0	0	0.089	91388.42975	12624.79339	78418.18182	601214.7404	0.351815488	176	255	335	61	3108.431474	4153.373099	15740	18694.57964	19178.70807	17372	3	4914.050053	36553.70807	-1.590097837	-0.05040285	18848.43147
