s	Shannon	Simpson	Richness	Chao1	Ace	pielou	Goods_coverage	Region	Site	Season	Site2	Month	Category
LTCMW1May01prok_corrected	3.152176336	0.901896063	178	183.5263158	184.4156462	0.421654459	0.99990374	LT	CMW1	May	CMW	5	01prok_corrected
LTCMW1Nov01prok_corrected	3.956247407	0.952465683	249	265.7142857	261.9449939	0.497015885	0.999698329	LT	CMW1	Nov	CMW	11	01prok_corrected
LTCMW2Aug01prok_corrected	4.229344748	0.959028051	282	288.5769231	289.6277623	0.519604161	0.999805204	LT	CMW2	Aug	CMW	8	01prok_corrected
LTCMW2Feb01prok_corrected	3.504416137	0.936536392	153	153.375	154.3243042	0.482875686	0.999904731	LT	CMW2	Feb	CMW	2	01prok_corrected
LTCMW2May01prok_corrected	3.206447152	0.904040205	149	151.7692308	152.9493448	0.444157404	1	LT	CMW2	May	CMW	5	01prok_corrected
LTCMW2Nov01prok_corrected	3.383247791	0.867395435	190	191.1666667	192.4398434	0.446936899	1	LT	CMW2	Nov	CMW	11	01prok_corrected
LTCMW3Aug01prok_corrected	3.981675085	0.943476758	231	238	236.7593185	0.507106769	0.999807054	LT	CMW3	Aug	CMW	8	01prok_corrected
LTCMW3Feb01prok_corrected	3.373928942	0.927344667	150	153.4375	154.7696904	0.466733098	1	LT	CMW3	Feb	CMW	2	01prok_corrected
LTCMW3May01prok_corrected	3.095157758	0.906617109	202	210.3571429	218.7918704	0.404161959	0.999819037	LT	CMW3	May	CMW	5	01prok_corrected
LTCMW3Nov01prok_corrected	3.827412539	0.933846342	221	224	224.219073	0.491456141	0.999693043	LT	CMW3	Nov	CMW	11	01prok_corrected
LTPC1Aug01prok_corrected	4.084890253	0.949674804	273	274.875	275.8417506	0.504758784	0.999904046	LT	PC1	Aug	PC	8	01prok_corrected
LTPC1Feb01prok_corrected	3.472624946	0.933655715	163	168.5714286	168.2201467	0.472547749	0.999722146	LT	PC1	Feb	PC	2	01prok_corrected
LTPC1May01prok_corrected	2.89052956	0.816029611	198	206.1428571	206.7540044	0.378869373	0.999700183	LT	PC1	May	PC	5	01prok_corrected
LTPC1Nov01prok_corrected	3.174034081	0.820684337	247	254.4347826	253.7893085	0.399331585	0.999591645	LT	PC1	Nov	PC	11	01prok_corrected
LTPC2Aug01prok_corrected	4.128145919	0.954050494	244	251.5	249.174361	0.520524857	0.999902754	LT	PC2	Aug	PC	8	01prok_corrected
LTPC2May01prok_corrected	3.463498777	0.93281552	197	214.6470588	209.6366398	0.454405042	0.999907249	LT	PC2	May	PC	5	01prok_corrected
LTPC2Nov01prok_corrected	3.128457827	0.811170288	250	257.2285714	260.6803443	0.39273695	0.999797635	LT	PC2	Nov	PC	11	01prok_corrected
LTPC3Aug01prok_corrected	4.072610012	0.959477969	185	188.6	188.0155877	0.540752056	0.999899245	LT	PC3	Aug	PC	8	01prok_corrected
LTPC3Feb01prok_corrected	3.565990797	0.950368238	134	140	141.2357101	0.504662579	0.999896797	LT	PC3	Feb	PC	2	01prok_corrected
LTPC3May01prok_corrected	2.529727306	0.789277493	174	181.21875	186.0882562	0.339882643	0.999900587	LT	PC3	May	PC	5	01prok_corrected
LTPC3Nov01prok_corrected	3.610644287	0.944196697	193	201.75	204.2006114	0.475556762	0.99950108	LT	PC3	Nov	PC	11	01prok_corrected
SKSha1Feb01prok_corrected	3.667584938	0.938338702	154	160.5	159.3824891	0.504705198	0.999577837	SK	Sha1	Feb	Sha	2	01prok_corrected
SKSha2Feb01prok_corrected	3.788306491	0.952921372	148	148.5555556	149.8298687	0.525463763	1	SK	Sha2	Feb	Sha	2	01prok_corrected
SKSha3Feb01prok_corrected	3.736365941	0.954972316	121	126.25	123.3748185	0.540025986	0.999732747	SK	Sha3	Feb	Sha	2	01prok_corrected
SKBlu1Aug01prok_corrected	2.49571393	0.675525585	252	262.7884615	270.4036545	0.312852746	0.999781532	SK	Blu1	Aug	Blu	8	01prok_corrected
SKBlu1Feb01prok_corrected	4.166164672	0.967466546	206	206.7142857	207.3270741	0.542010588	1	SK	Blu1	Feb	Blu	2	01prok_corrected
SKBlu1May01prok_corrected	0.86749862	0.237216869	112	123.1764706	123.1661895	0.127435491	1	SK	Blu1	May	Blu	5	01prok_corrected
SKBlu1Nov01prok_corrected	4.237273852	0.953371814	259	269	267.7013633	0.528548732	1	SK	Blu1	Nov	Blu	11	01prok_corrected
SKBlu2Aug01prok_corrected	2.798056858	0.765800969	217	223.1071429	225.007807	0.360502273	0.999545961	SK	Blu2	Aug	Blu	8	01prok_corrected
SKBlu2Feb01prok_corrected	4.187361652	0.95973742	239	246.125	248.2343526	0.529987627	0.999715778	SK	Blu2	Feb	Blu	2	01prok_corrected
SKBlu2May01prok_corrected	1.220942696	0.329607173	157	179.44	181.8870999	0.167375761	0.999452297	SK	Blu2	May	Blu	5	01prok_corrected
SKBlu2Nov01prok_corrected	3.540830747	0.855613854	229	234.3529412	234.6702552	0.451682447	0.999802606	SK	Blu2	Nov	Blu	11	01prok_corrected
SKBlu3Aug01prok_corrected	2.857038138	0.796959314	213	225.6875	229.064807	0.369378849	0.999664092	SK	Blu3	Aug	Blu	8	01prok_corrected
SKBlu3Feb01prok_corrected	4.141183991	0.950978442	236	243.1578947	242.9614556	0.525354753	0.999611983	SK	Blu3	Feb	Blu	2	01prok_corrected
SKBlu3May01prok_corrected	1.535107506	0.42989482	155	166	166.9784541	0.210978733	0.999462648	SK	Blu3	May	Blu	5	01prok_corrected
SKBlu3Nov01prok_corrected	3.974004395	0.915137711	227	229.5714286	230.0388352	0.507759506	1	SK	Blu3	Nov	Blu	11	01prok_corrected
SKLKW1Aug01prok_corrected	2.425491274	0.706174214	241	281.7380952	287.7396066	0.306524099	0.999771503	SK	LKW1	Aug	LKW	8	01prok_corrected
SKLKW1Feb01prok_corrected	4.039657352	0.965330045	179	181.8	181.7976262	0.539785782	0.999718801	SK	LKW1	Feb	LKW	2	01prok_corrected
SKLKW1May01prok_corrected	1.824797096	0.521172038	186	204.030303	208.436722	0.242042533	0.999684422	SK	LKW1	May	LKW	5	01prok_corrected
SKLKW1Nov01prok_corrected	3.472882875	0.845057256	281	299	302.5064199	0.426936423	0.999800669	SK	LKW1	Nov	LKW	11	01prok_corrected
SKLKW2Aug01prok_corrected	2.385382723	0.699010852	242	281.9	280.5870707	0.301227923	0.998738419	SK	LKW2	Aug	LKW	8	01prok_corrected
SKLKW2Feb01prok_corrected	4.06622918	0.967458942	159	160.1111111	160.6622693	0.556036409	1	SK	LKW2	Feb	LKW	2	01prok_corrected
SKLKW2May01prok_corrected	2.432149596	0.688423823	176	180.3333333	181.3978106	0.326050257	1	SK	LKW2	May	LKW	5	01prok_corrected
SKLKW2Nov01prok_corrected	4.039985274	0.937980691	239	241.1428571	242.4424982	0.511334436	0.999903552	SK	LKW2	Nov	LKW	11	01prok_corrected
SKLKW3Aug01prok_corrected	2.59213896	0.745590124	203	213.6363636	217.5948003	0.338163779	0.999878752	SK	LKW3	Aug	LKW	8	01prok_corrected
SKLKW3Feb01prok_corrected	4.090199528	0.967131835	173	175.5	174.8257413	0.55015522	1	SK	LKW3	Feb	LKW	2	01prok_corrected
SKLKW3May01prok_corrected	2.376030995	0.66520856	182	185.5	188.3993388	0.316475225	0.999897089	SK	LKW3	May	LKW	5	01prok_corrected
SKLKW3Nov01prok_corrected	3.820842107	0.905222828	252	260.8846154	262.0123225	0.47896553	0.999702114	SK	LKW3	Nov	LKW	11	01prok_corrected
SKSha1Aug01prok_corrected	2.161705998	0.621674604	199	213.5	216.0369256	0.283070873	0.999367966	SK	Sha1	Aug	Sha	8	01prok_corrected
SKSha1May01prok_corrected	1.034800322	0.317488995	110	123.6363636	128.0977729	0.152594814	0.999678778	SK	Sha1	May	Sha	5	01prok_corrected
SKSha1Nov01prok_corrected	2.391675793	0.620683097	261	282.7941176	282.2029626	0.297920254	0.99926494	SK	Sha1	Nov	Sha	11	01prok_corrected
SKSha2Aug01prok_corrected	2.375242028	0.664533238	212	226.1304348	225.0307676	0.307358499	0.999688741	SK	Sha2	Aug	Sha	8	01prok_corrected
SKSha2May01prok_corrected	1.646359196	0.505201398	150	170.7142857	169.0267232	0.227749411	0.99968029	SK	Sha2	May	Sha	5	01prok_corrected
SKSha2Nov01prok_corrected	3.344010633	0.815000251	231	234.3913043	236.423575	0.425893723	0.999585656	SK	Sha2	Nov	Sha	11	01prok_corrected
SKSha3Aug01prok_corrected	2.492949698	0.672760542	213	221.0769231	222.1643426	0.322306825	0.999683717	SK	Sha3	Aug	Sha	8	01prok_corrected
SKSha3May01prok_corrected	1.281932662	0.381181603	144	169.5	168.3400519	0.178793036	0.999566433	SK	Sha3	May	Sha	5	01prok_corrected
SKSha3Nov01prok_corrected	2.809949995	0.70459528	261	269.625	271.870827	0.350022782	0.999583295	SK	Sha3	Nov	Sha	11	01prok_corrected
HKSta1Aug01prok_corrected	4.042692893	0.954022963	241	241.7894737	242.650255	0.510899713	1	HK	Sta1	Aug	Sta	8	01prok_corrected
HKSta2Aug01prok_corrected	4.13745697	0.965260785	213	213.6666667	214.38496	0.534920789	0.99979539	HK	Sta2	Aug	Sta	8	01prok_corrected
HKBea1Aug02protist_aftercorrection	3.886024141	0.962589193	251	353	351.5181916	0.487487036	1	HK	Bea1	Aug	Bea	8	02protist_aftercorrection
HKBea1Feb02protist_aftercorrection	3.113094101	0.852622555	213	266.3225806	280.0259615	0.402483642	1	HK	Bea1	Feb	Bea	2	02protist_aftercorrection
HKBea1May02protist_aftercorrection	3.15790402	0.915641816	179	208.3333333	205.696869	0.421964425	1	HK	Bea1	May	Bea	5	02protist_aftercorrection
HKBea1Nov02protist_aftercorrection	3.384914737	0.937227579	230	281.483871	283.4201924	0.431447203	1	HK	Bea1	Nov	Bea	11	02protist_aftercorrection
HKBea2Aug02protist_aftercorrection	3.739192838	0.953783981	221	340	357.8040273	0.480128354	1	HK	Bea2	Aug	Bea	8	02protist_aftercorrection
HKBea2Feb02protist_aftercorrection	2.328020869	0.680109903	175	222.1428571	216.7926676	0.312435232	1	HK	Bea2	Feb	Bea	2	02protist_aftercorrection
HKBea2May02protist_aftercorrection	3.666827476	0.945466887	265	349.0909091	342.1549087	0.455515089	1	HK	Bea2	May	Bea	5	02protist_aftercorrection
HKBea2Nov02protist_aftercorrection	2.991388145	0.906193389	204	277.1818182	295.9782795	0.389888205	1	HK	Bea2	Nov	Bea	11	02protist_aftercorrection
HKBea3Aug02protist_aftercorrection	3.804823631	0.955234946	224	305.8888889	294.8680145	0.487338371	1	HK	Bea3	Aug	Bea	8	02protist_aftercorrection
HKBea3Feb02protist_aftercorrection	2.950160631	0.857864129	186	227.7777778	234.0817245	0.391311644	1	HK	Bea3	Feb	Bea	2	02protist_aftercorrection
HKBea3May02protist_aftercorrection	3.481350865	0.91806943	261	357.6	331.7826624	0.433656157	1	HK	Bea3	May	Bea	5	02protist_aftercorrection
HKBea3Nov02protist_aftercorrection	3.220782375	0.913223029	261	332.1875	325.655636	0.401198317	1	HK	Bea3	Nov	Bea	11	02protist_aftercorrection
HKSta1Aug02protist_aftercorrection	3.332395791	0.897542713	248	321.0285714	340.0671531	0.418948145	1	HK	Sta1	Aug	Sta	8	02protist_aftercorrection
HKSta1Feb02protist_aftercorrection	2.816263584	0.851329852	178	229	232.3431339	0.376720707	1	HK	Sta1	Feb	Sta	2	02protist_aftercorrection
HKSta1May02protist_aftercorrection	1.625656005	0.618416894	227	280.625	297.4723508	0.207710462	1	HK	Sta1	May	Sta	5	02protist_aftercorrection
HKSta1Nov02protist_aftercorrection	2.90570421	0.904377081	221	349.375	323.2630119	0.373104849	1	HK	Sta1	Nov	Sta	11	02protist_aftercorrection
HKSta2Aug02protist_aftercorrection	3.378646194	0.910171393	267	392.125	364.5792551	0.419150682	1	HK	Sta2	Aug	Sta	8	02protist_aftercorrection
HKSta2Feb02protist_aftercorrection	2.528051174	0.766693823	162	228.12	224.3490046	0.344428179	1	HK	Sta2	Feb	Sta	2	02protist_aftercorrection
HKSta2May02protist_aftercorrection	1.356347754	0.509731555	214	298.0909091	306.4397443	0.175205521	1	HK	Sta2	May	Sta	5	02protist_aftercorrection
HKSta2Nov02protist_aftercorrection	3.493327697	0.931197887	244	278.45	288.9020561	0.440479561	1	HK	Sta2	Nov	Sta	11	02protist_aftercorrection
HKSta3Aug02protist_aftercorrection	3.750795226	0.946237031	237	363.8484848	384.3111344	0.475461694	1	HK	Sta3	Aug	Sta	8	02protist_aftercorrection
HKSta3Feb02protist_aftercorrection	2.91431882	0.857710378	199	314.5	314.9652351	0.381623946	1	HK	Sta3	Feb	Sta	2	02protist_aftercorrection
HKSta3May02protist_aftercorrection	1.286150417	0.516083698	210	283.0285714	293.7219127	0.166724071	1	HK	Sta3	May	Sta	5	02protist_aftercorrection
HKSta3Nov02protist_aftercorrection	2.933083667	0.891048578	220	268.8857143	274.2117596	0.376937165	1	HK	Sta3	Nov	Sta	11	02protist_aftercorrection
HKSW1Aug02protist_aftercorrection	3.958395452	0.963072437	272	404.84	380.1466583	0.489448363	1	HK	SW1	Aug	SW	8	02protist_aftercorrection
HKSW1Feb02protist_aftercorrection	3.024241341	0.88988528	175	223.3636364	242.6816688	0.405872454	1	HK	SW1	Feb	SW	2	02protist_aftercorrection
HKSW1May02protist_aftercorrection	2.373477568	0.758333372	254	357.0526316	371.375985	0.297104925	1	HK	SW1	May	SW	5	02protist_aftercorrection
HKSW1Nov02protist_aftercorrection	3.296596572	0.921827997	249	342.2608696	313.6703945	0.414145198	1	HK	SW1	Nov	SW	11	02protist_aftercorrection
HKSW2Aug02protist_aftercorrection	3.811161198	0.951917859	238	356.5	336.8880699	0.482742137	1	HK	SW2	Aug	SW	8	02protist_aftercorrection
HKSW2Feb02protist_aftercorrection	2.611559855	0.829689951	158	237.8	219.8732451	0.35756274	1	HK	SW2	Feb	SW	2	02protist_aftercorrection
HKSW2May02protist_aftercorrection	2.351602369	0.713005829	225	300	314.9198386	0.300955749	1	HK	SW2	May	SW	5	02protist_aftercorrection
HKSW2Nov02protist_aftercorrection	1.083975132	0.575481876	18	19.5	21.36	0.25995075	1	HK	SW2	Nov	SW	11	02protist_aftercorrection
HKSW3Aug02protist_aftercorrection	3.462523205	0.925499785	214	296.8333333	300.0853125	0.447269647	1	HK	SW3	Aug	SW	8	02protist_aftercorrection
HKSW3Feb02protist_aftercorrection	3.375525208	0.914110125	219	308.7567568	321.4238405	0.434163043	1	HK	SW3	Feb	SW	2	02protist_aftercorrection
HKSW3May02protist_aftercorrection	2.791917712	0.81243952	258	377.3846154	394.3984879	0.348500626	1	HK	SW3	May	SW	5	02protist_aftercorrection
HKSW3Nov02protist_aftercorrection	2.985416732	0.906569945	227	252.0666667	270.4758013	0.381447421	1	HK	SW3	Nov	SW	11	02protist_aftercorrection
LTCC1Aug02protist_aftercorrection	3.648042156	0.936320648	210	275.2702703	311.1613975	0.472896818	1	LT	CC1	Aug	CC	8	02protist_aftercorrection
LTCC1Feb02protist_aftercorrection	2.81646516	0.769734733	212	322.0294118	329.503277	0.364453177	1	LT	CC1	Feb	CC	2	02protist_aftercorrection
LTCC1May02protist_aftercorrection	3.430400292	0.932003031	239	347.7777778	365.9909234	0.434180246	1	LT	CC1	May	CC	5	02protist_aftercorrection
LTCC1Nov02protist_aftercorrection	2.447194581	0.813578618	224	275.3947368	286.2056296	0.313447333	1	LT	CC1	Nov	CC	11	02protist_aftercorrection
LTCC2Aug02protist_aftercorrection	3.83682093	0.954613149	221	354	326.6928026	0.492664219	1	LT	CC2	Aug	CC	8	02protist_aftercorrection
LTCC2Feb02protist_aftercorrection	3.139300063	0.819678512	250	364.7727273	396.2575916	0.394098051	1	LT	CC2	Feb	CC	2	02protist_aftercorrection
LTCC2May02protist_aftercorrection	3.430873675	0.919645905	248	333.8	337.9011309	0.431328765	1	LT	CC2	May	CC	5	02protist_aftercorrection
LTCC2Nov02protist_aftercorrection	2.438759195	0.870783754	156	224.1428571	233.4633115	0.334745992	1	LT	CC2	Nov	CC	11	02protist_aftercorrection
LTCC3Aug02protist_aftercorrection	3.707677174	0.945753689	205	264.2941176	287.8893516	0.482803149	1	LT	CC3	Aug	CC	8	02protist_aftercorrection
LTCC3Feb02protist_aftercorrection	3.282269894	0.839816417	250	350.4102564	360.5350809	0.412046043	1	LT	CC3	Feb	CC	2	02protist_aftercorrection
LTCC3May02protist_aftercorrection	2.972763734	0.85581431	243	341.4473684	364.0124028	0.375121018	1	LT	CC3	May	CC	5	02protist_aftercorrection
LTCC3Nov02protist_aftercorrection	2.386800346	0.861427514	188	245.0333333	264.4274873	0.315940469	1	LT	CC3	Nov	CC	11	02protist_aftercorrection
LTCMW1Aug02protist_aftercorrection	3.602553443	0.947778417	239	337.2758621	341.9055373	0.455969393	1	LT	CMW1	Aug	CMW	8	02protist_aftercorrection
LTCMW1Feb02protist_aftercorrection	3.129705389	0.920204379	127	175.4615385	176.9545152	0.447824666	1	LT	CMW1	Feb	CMW	2	02protist_aftercorrection
LTCMW1May02protist_aftercorrection	2.588185083	0.757062913	211	299.75	303.4865277	0.335209407	1	LT	CMW1	May	CMW	5	02protist_aftercorrection
LTCMW1Nov02protist_aftercorrection	2.541850088	0.856013855	255	336.025641	344.8815063	0.317955681	1	LT	CMW1	Nov	CMW	11	02protist_aftercorrection
LTCMW2Aug02protist_aftercorrection	3.730998204	0.956640264	225	317.125	304.6508027	0.477489465	1	LT	CMW2	Aug	CMW	8	02protist_aftercorrection
LTCMW2Feb02protist_aftercorrection	2.820075687	0.837928039	234	342.9655172	331.1093309	0.358315756	1	LT	CMW2	Feb	CMW	2	02protist_aftercorrection
LTCMW2May02protist_aftercorrection	3.45575907	0.914826783	247	472.1578947	382.409688	0.43477597	1	LT	CMW2	May	CMW	5	02protist_aftercorrection
LTCMW2Nov02protist_aftercorrection	2.462835519	0.850640058	258	345.1276596	372.0930015	0.307423	1	LT	CMW2	Nov	CMW	11	02protist_aftercorrection
LTCMW3Aug02protist_aftercorrection	3.905202285	0.96245294	239	326.1290323	331.2825194	0.49427517	1	LT	CMW3	Aug	CMW	8	02protist_aftercorrection
LTCMW3Feb02protist_aftercorrection	2.587564703	0.796679013	192	245.2608696	236.0565775	0.341144034	1	LT	CMW3	Feb	CMW	2	02protist_aftercorrection
LTCMW3May02protist_aftercorrection	3.785235638	0.951719674	250	364.5172414	353.3542311	0.475186812	1	LT	CMW3	May	CMW	5	02protist_aftercorrection
LTCMW3Nov02protist_aftercorrection	2.418013248	0.843593789	80	120.625	134.6688709	0.382480346	1	LT	CMW3	Nov	CMW	11	02protist_aftercorrection
LTPC1Aug02protist_aftercorrection	2.999993564	0.869212186	260	325.2826087	341.3191988	0.37395363	1	LT	PC1	Aug	PC	8	02protist_aftercorrection
LTPC1Feb02protist_aftercorrection	1.935891439	0.75749472	107	150.3333333	164.9848002	0.287161747	1	LT	PC1	Feb	PC	2	02protist_aftercorrection
LTPC1May02protist_aftercorrection	3.388039732	0.922697267	249	342.137931	343.743692	0.425633029	1	LT	PC1	May	PC	5	02protist_aftercorrection
LTPC1Nov02protist_aftercorrection	2.738302892	0.877922195	237	304.2631579	321.8539894	0.347115225	1	LT	PC1	Nov	PC	11	02protist_aftercorrection
LTPC2Aug02protist_aftercorrection	3.761857677	0.955523105	247	314.03125	313.1573888	0.473286848	1	LT	PC2	Aug	PC	8	02protist_aftercorrection
LTPC2May02protist_aftercorrection	2.353560353	0.730916608	222	317.5769231	305.6478583	0.301954681	1	LT	PC2	May	PC	5	02protist_aftercorrection
LTPC2Nov02protist_aftercorrection	2.789849354	0.839345053	265	332.2340426	353.5346003	0.346571658	1	LT	PC2	Nov	PC	11	02protist_aftercorrection
LTPC3Aug02protist_aftercorrection	3.500885624	0.935505522	259	334.3488372	348.4345149	0.436693195	1	LT	PC3	Aug	PC	8	02protist_aftercorrection
LTPC3Feb02protist_aftercorrection	1.675554913	0.577724283	170	207.8857143	225.9773158	0.226139359	1	LT	PC3	Feb	PC	2	02protist_aftercorrection
LTPC3May02protist_aftercorrection	2.237787365	0.67999519	244	364.6774194	365.9105542	0.28216637	1	LT	PC3	May	PC	5	02protist_aftercorrection
LTPC3Nov02protist_aftercorrection	2.062068045	0.809251464	97	183	191.4703618	0.312438678	1	LT	PC3	Nov	PC	11	02protist_aftercorrection
