afterCorrection	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
protist_Zotu592	0	0	6.666666667	0	1.666666667	0	11.66666667	0	6.666666667	0	30	0	3.333333333	0	31.66666667	0	0	0	16.66666667	0	0	0	25	0	0	0	10	1.666666667	0	0	10	0	0	0	3.333333333	1.666666667	0	0	113.3333333	0	0	0	36.66666667	0	0	1.666666667	130	0	0	0	36.66666667	0	1.666666667	0	71.66666667	1.666666667	0	1.666666667	96.66666667	6.666666667	0	0	191.6666667	0	0	20	0	0	0	1.666666667	0	0	0	0	0	0	0	11.66666667	0	0	0	1.666666667	0	0	0	15	0	0	0	0	0	0	0	5	0	0	0	3.333333333	0	1.666666667	0	23.33333333	0	1.666666667	1.666666667	0	0
protist_Zotu147	2.857142857	31.42857143	684.2857143	0	1.428571429	14.28571429	175.7142857	15.71428571	4.285714286	55.71428571	238.5714286	11.42857143	22.85714286	4.285714286	115.7142857	8.571428571	38.57142857	2.857142857	97.14285714	0	0	10	111.4285714	2.857142857	8.571428571	10	257.1428571	21.42857143	7.142857143	15.71428571	84.28571429	0	1.428571429	5.714285714	78.57142857	30	0	1.428571429	12.85714286	0	0	8.571428571	37.14285714	0	0	4.285714286	50	14.28571429	88.57142857	174.2857143	20	8.571428571	40	40	32.85714286	2.857142857	4.285714286	11.42857143	50	0	2.857142857	0	118.5714286	8.571428571	7.142857143	215.7142857	7.142857143	7.142857143	44.28571429	118.5714286	2.857142857	2.857142857	25.71428571	84.28571429	0	15.71428571	54.28571429	335.7142857	0	0	52.85714286	342.8571429	0	88.57142857	37.14285714	170	4.285714286	130	55.71428571	202.8571429	45.71428571	0	22.85714286	270	28.57142857	20	32.85714286	10	8.571428571	10	12.85714286	61.42857143	14.28571429	24.28571429	15.71428571	51.42857143	2.857142857
protist_Zotu8	32.85714286	414.2857143	390	91.42857143	20	245.7142857	300	220	37.14285714	607.1428571	411.4285714	128.5714286	710	147.1428571	978.5714286	57.14285714	1161.428571	37.14285714	1171.428571	8.571428571	11.42857143	22.85714286	1182.857143	18.57142857	64.28571429	80	1085.714286	144.2857143	42.85714286	90	478.5714286	0	0	97.14285714	354.2857143	205.7142857	14.28571429	17.14285714	77.14285714	132.8571429	5.714285714	8.571428571	162.8571429	17.14285714	131.4285714	28.57142857	314.2857143	104.2857143	375.7142857	0	300	2615.714286	237.1428571	575.7142857	224.2857143	910	307.1428571	400	131.4285714	1004.285714	2502.857143	0	278.5714286	702.8571429	757.1428571	792.8571429	634.2857143	941.4285714	444.2857143	875.7142857	5671.428571	755.7142857	827.1428571	1442.857143	247.1428571	394.2857143	888.5714286	591.4285714	98.57142857	257.1428571	1055.714286	837.1428571	81.42857143	9894.285714	72.85714286	324.2857143	230	13975.71429	565.7142857	260	4118.571429	11888.57143	155.7142857	327.1428571	4625.714286	131.4285714	828.5714286	297.1428571	57.14285714	84.28571429	235.7142857	1198.571429	97.14285714	32.85714286	737.1428571	438.5714286	234.2857143
protist_Zotu1	71.42857143	3400	4112.857143	34.28571429	34.28571429	5230	664.2857143	218.5714286	72.85714286	3338.571429	1334.285714	268.5714286	1244.285714	2720	17135.71429	30	2122.857143	411.4285714	23488.57143	1.428571429	12.85714286	1637.142857	27305.71429	11.42857143	90	721.4285714	2568.571429	170	181.4285714	1192.857143	918.5714286	0	21.42857143	257.1428571	858.5714286	208.5714286	32.85714286	30	168.5714286	10	31.42857143	30	447.1428571	98.57142857	47.14285714	67.14285714	518.5714286	3072.857143	1288.571429	21.42857143	587.1428571	12.85714286	671.4285714	964.2857143	390	121.4285714	55.71428571	4435.714286	255.7142857	455.7142857	295.7142857	17.14285714	425.7142857	564.2857143	398.5714286	961.4285714	244.2857143	165.7142857	12080	1347.142857	18.57142857	51.42857143	36075.71429	4070	65.71428571	51.42857143	23117.14286	2048.571429	84.28571429	34.28571429	28437.14286	2712.857143	27.14285714	101.4285714	37574.28571	718.5714286	67.14285714	131.4285714	33752.85714	601.4285714	75.71428571	625.7142857	39254.28571	1034.285714	34.28571429	35.71428571	34520	740	421.4285714	15.71428571	39578.57143	1990	214.2857143	44.28571429	35365.71429	1058.571429	11.42857143
protist_Zotu2606	0	105.7142857	11.42857143	0	0	200	2.857142857	0	0	80	5.714285714	0	1.428571429	100	20	1.428571429	5.714285714	24.28571429	27.14285714	0	0	68.57142857	27.14285714	0	1.428571429	17.14285714	12.85714286	0	4.285714286	28.57142857	2.857142857	0	0	5.714285714	7.142857143	1.428571429	0	1.428571429	0	0	0	0	0	0	0	2.857142857	0	0	4.285714286	0	0	2.857142857	1.428571429	1.428571429	0	1.428571429	0	100	0	0	0	1.428571429	2.857142857	0	1.428571429	2.857142857	0	0	14.28571429	2.857142857	0	0	54.28571429	4.285714286	5.714285714	0	47.14285714	7.142857143	0	0	44.28571429	5.714285714	0	0	45.71428571	0	0	0	38.57142857	0	2.857142857	4.285714286	58.57142857	7.142857143	1.428571429	0	37.14285714	12.85714286	0	0	37.14285714	14.28571429	0	0	20	0	0
protist_Zotu3	431.4285714	554.2857143	3270	184.2857143	324.2857143	87.14285714	1351.428571	2677.142857	510	35.71428571	2421.428571	1451.428571	3612.857143	52.85714286	7687.142857	647.1428571	5782.857143	131.4285714	5537.142857	375.7142857	57.14285714	52.85714286	8202.857143	561.4285714	695.7142857	181.4285714	10100	901.4285714	190	165.7142857	5601.428571	0	51.42857143	687.1428571	3911.428571	3165.714286	35.71428571	117.1428571	531.4285714	1260	47.14285714	67.14285714	1632.857143	2465.714286	32.85714286	141.4285714	3958.571429	6274.285714	1405.714286	32.85714286	4214.285714	5011.428571	1051.428571	4525.714286	1871.428571	6937.142857	252.8571429	780	1028.571429	10237.14286	3287.142857	32.85714286	3502.857143	4625.714286	585.7142857	11368.57143	5675.714286	1130	2525.714286	13038.57143	6732.857143	2187.142857	650	2448.571429	1764.285714	331.4285714	4367.142857	2095.714286	914.2857143	580	2428.571429	2894.285714	915.7142857	680	1425.714286	2122.857143	1848.571429	3040	3735.714286	1227.142857	2851.428571	507.1428571	567.1428571	2861.428571	5178.571429	197.1428571	4505.714286	887.1428571	1634.285714	128.5714286	584.2857143	3224.285714	1435.714286	421.4285714	1771.428571	3055.714286	1391.428571
protist_Zotu94	5.714285714	32.85714286	75.71428571	1.428571429	4.285714286	2.857142857	41.42857143	227.1428571	10	7.142857143	78.57142857	111.4285714	115.7142857	5.714285714	227.1428571	72.85714286	271.4285714	2.857142857	171.4285714	11.42857143	2.857142857	1.428571429	300	25.71428571	25.71428571	5.714285714	330	61.42857143	7.142857143	7.142857143	102.8571429	0	1.428571429	18.57142857	41.42857143	264.2857143	0	4.285714286	4.285714286	31.42857143	0	2.857142857	45.71428571	41.42857143	1.428571429	4.285714286	87.14285714	145.7142857	65.71428571	0	108.5714286	105.7142857	25.71428571	170	65.71428571	558.5714286	18.57142857	30	21.42857143	78.57142857	87.14285714	2.857142857	64.28571429	184.2857143	14.28571429	172.8571429	194.2857143	31.42857143	84.28571429	262.8571429	98.57142857	74.28571429	52.85714286	34.28571429	271.4285714	14.28571429	165.7142857	82.85714286	88.57142857	8.571428571	105.7142857	140	94.28571429	70	48.57142857	97.14285714	181.4285714	148.5714286	132.8571429	47.14285714	670	155.7142857	21.42857143	111.4285714	1010	25.71428571	167.1428571	25.71428571	231.4285714	10	25.71428571	124.2857143	170	21.42857143	74.28571429	71.42857143	64.28571429
protist_Zotu112	2.857142857	44.28571429	128.5714286	87.14285714	2.857142857	28.57142857	170	4.285714286	4.285714286	8.571428571	65.71428571	52.85714286	55.71428571	7.142857143	78.57142857	11.42857143	92.85714286	4.285714286	112.8571429	1.428571429	0	31.42857143	97.14285714	21.42857143	17.14285714	2.857142857	141.4285714	152.8571429	12.85714286	2.857142857	18.57142857	0	0	0	27.14285714	125.7142857	0	4.285714286	27.14285714	4.285714286	2.857142857	7.142857143	18.57142857	4.285714286	0	2.857142857	22.85714286	91.42857143	128.5714286	1.428571429	20	18.57142857	47.14285714	20	41.42857143	81.42857143	0	5.714285714	67.14285714	7.142857143	34.28571429	8.571428571	37.14285714	58.57142857	12.85714286	57.14285714	7.142857143	71.42857143	51.42857143	28.57142857	2.857142857	5.714285714	61.42857143	94.28571429	91.42857143	15.71428571	77.14285714	255.7142857	92.85714286	24.28571429	127.1428571	362.8571429	142.8571429	92.85714286	228.5714286	104.2857143	294.2857143	125.7142857	100	231.4285714	307.1428571	377.1428571	97.14285714	180	298.5714286	22.85714286	88.57142857	37.14285714	161.4285714	32.85714286	80	62.85714286	210	10	42.85714286	92.85714286	84.28571429
protist_Zotu27	115.7142857	4.285714286	0	217.1428571	58.57142857	0	191.4285714	87.14285714	130	0	41.42857143	184.2857143	115.7142857	0	14.28571429	991.4285714	280	4.285714286	10	785.7142857	18.57142857	8.571428571	22.85714286	755.7142857	197.1428571	0	365.7142857	1070	8.571428571	0	52.85714286	0	7.142857143	11.42857143	28.57142857	1324.285714	8.571428571	1.428571429	78.57142857	278.5714286	14.28571429	14.28571429	31.42857143	407.1428571	24.28571429	4.285714286	151.4285714	1338.571429	28.57142857	0	37.14285714	271.4285714	24.28571429	47.14285714	34.28571429	964.2857143	42.85714286	1.428571429	160	2197.142857	252.8571429	57.14285714	72.85714286	454.2857143	114.2857143	241.4285714	305.7142857	414.2857143	4.285714286	112.8571429	4.285714286	147.1428571	4.285714286	62.85714286	631.4285714	111.4285714	5.714285714	61.42857143	625.7142857	162.8571429	4.285714286	78.57142857	855.7142857	251.4285714	91.42857143	65.71428571	2297.142857	237.1428571	5.714285714	265.7142857	2190	18.57142857	12.85714286	82.85714286	1938.571429	140	11.42857143	28.57142857	2971.428571	238.5714286	4.285714286	134.2857143	4280	347.1428571	7.142857143	172.8571429	1248.571429
protist_Zotu16	185.7142857	124.2857143	678.5714286	350	78.57142857	72.85714286	670	592.8571429	148.5714286	67.14285714	531.4285714	400	408.5714286	31.42857143	530	762.8571429	720	12.85714286	431.4285714	682.8571429	21.42857143	57.14285714	545.7142857	581.4285714	257.1428571	27.14285714	1302.857143	1311.428571	100	24.28571429	195.7142857	185.7142857	0	32.85714286	155.7142857	2017.142857	38.57142857	15.71428571	187.1428571	301.4285714	54.28571429	45.71428571	158.5714286	772.8571429	62.85714286	20	364.2857143	2177.142857	572.8571429	1.428571429	177.1428571	382.8571429	300	164.2857143	214.2857143	1415.714286	130	80	405.7142857	2274.285714	572.8571429	51.42857143	321.4285714	652.8571429	391.4285714	855.7142857	245.7142857	802.8571429	237.1428571	380	585.7142857	234.2857143	224.2857143	437.1428571	1250	175.7142857	440	1421.428571	1268.571429	297.1428571	342.8571429	1372.857143	1917.142857	445.7142857	574.2857143	527.1428571	2960	640	310	795.7142857	2914.285714	81.42857143	171.4285714	788.5714286	2441.428571	201.4285714	338.5714286	278.5714286	3951.428571	232.8571429	175.7142857	741.4285714	5115.714286	325.7142857	208.5714286	311.4285714	1244.285714
protist_Zotu22	52.85714286	175.7142857	1340	4.285714286	12.85714286	158.5714286	418.5714286	22.85714286	44.28571429	190	494.2857143	150	501.4285714	90	834.2857143	18.57142857	874.2857143	25.71428571	1021.428571	28.57142857	4.285714286	131.4285714	901.4285714	18.57142857	104.2857143	41.42857143	682.8571429	254.2857143	120	82.85714286	77.14285714	0	4.285714286	20	194.2857143	108.5714286	0	14.28571429	85.71428571	10	0	30	145.7142857	1.428571429	0	20	92.85714286	277.1428571	671.4285714	2.857142857	88.57142857	10	357.1428571	108.5714286	220	38.57142857	0	151.4285714	218.5714286	17.14285714	7.142857143	2.857142857	287.1428571	251.4285714	7.142857143	447.1428571	31.42857143	37.14285714	484.2857143	167.1428571	8.571428571	7.142857143	1222.857143	434.2857143	52.85714286	0	1228.571429	1912.857143	45.71428571	5.714285714	1445.714286	1898.571429	74.28571429	14.28571429	1718.571429	612.8571429	165.7142857	32.85714286	967.1428571	694.2857143	100	15.71428571	1022.857143	998.5714286	141.4285714	32.85714286	1124.285714	274.2857143	170	51.42857143	1162.857143	738.5714286	211.4285714	51.42857143	850	497.1428571	60
protist_Zotu71	1.428571429	25.71428571	90	1.428571429	1.428571429	58.57142857	31.42857143	2.857142857	1.428571429	20	41.42857143	15.71428571	77.14285714	27.14285714	298.5714286	1.428571429	132.8571429	7.142857143	378.5714286	0	0	14.28571429	345.7142857	0	4.285714286	7.142857143	67.14285714	25.71428571	20	24.28571429	10	0	0	0	30	22.85714286	0	2.857142857	17.14285714	0	0	1.428571429	24.28571429	0	0	4.285714286	15.71428571	68.57142857	118.5714286	1.428571429	8.571428571	0	71.42857143	11.42857143	22.85714286	1.428571429	1.428571429	55.71428571	25.71428571	8.571428571	1.428571429	2.857142857	28.57142857	44.28571429	1.428571429	32.85714286	5.714285714	17.14285714	174.2857143	14.28571429	1.428571429	2.857142857	450	22.85714286	0	0	354.2857143	154.2857143	1.428571429	4.285714286	442.8571429	182.8571429	1.428571429	2.857142857	318.5714286	32.85714286	10	11.42857143	311.4285714	48.57142857	0	1.428571429	375.7142857	57.14285714	11.42857143	0	342.8571429	12.85714286	11.42857143	5.714285714	435.7142857	51.42857143	8.571428571	0	397.1428571	62.85714286	0
protist_Zotu373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.428571429	0	0	0	0	0	0	215.7142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.85714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.42857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protist_Zotu419	0	22.85714286	0	11.42857143	1.428571429	15.71428571	2.857142857	0	0	2.857142857	1.428571429	0	0	48.57142857	2.857142857	598.5714286	0	1.428571429	7.142857143	0	0	0	0	0	0	7.142857143	1.428571429	0	0	0	0	0	1.428571429	0	0	1.428571429	0	0	0	0	0	0	0	0	0	0	2.857142857	0	0	0	0	2.857142857	1.428571429	0	0	1.428571429	0	8.571428571	0	0	0	0	0	0	0	2.857142857	0	0	4.285714286	0	1.428571429	0	80	0	1.428571429	0	27.14285714	0	0	0	51.42857143	1.428571429	4.285714286	14.28571429	1.428571429	38.57142857	7.142857143	22.85714286	1.428571429	17.14285714	1.428571429	70	4.285714286	45.71428571	11.42857143	1.428571429	12.85714286	1.428571429	0	4.285714286	4.285714286	0	0	1.428571429	5.714285714	0	10
protist_Zotu222	0	221.4285714	0	897.1428571	0	32.85714286	0	0	0	0	0	11.42857143	1.428571429	8.571428571	0	1.428571429	10	7.142857143	0	2.857142857	2.857142857	0	1.428571429	1.428571429	0	0	0	0	2.857142857	0	0	0	0	0	1.428571429	0	0	0	0	0	0	1.428571429	2.857142857	0	0	61.42857143	12.85714286	1.428571429	0	0	0	1.428571429	0	0	0	2.857142857	0	4.285714286	0	0	0	0	1.428571429	1.428571429	0	0	4.285714286	0	28.57142857	0	0	1.428571429	10	44.28571429	18.57142857	0	4.285714286	0	0	0	0	0	50	0	1.428571429	0	10	0	7.142857143	0	5.714285714	52.85714286	1.428571429	5.714285714	0	7.142857143	10	5.714285714	0	7.142857143	1.428571429	1.428571429	0	10	1.428571429	1.428571429	0
protist_Zotu343	0	54.28571429	1.428571429	568.5714286	0	2.857142857	0	0	0	1.428571429	0	0	0	4.285714286	5.714285714	0	0	5.714285714	0	0	0	0	2.857142857	0	0	0	0	2.857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.428571429	0	0	27.14285714	0	0	0	0	0	2.857142857	0	0	0	0	0	5.714285714	0	0	0	0	0	0	0	0	0	0	55.71428571	0	0	1.428571429	7.142857143	30	0	0	5.714285714	0	1.428571429	0	4.285714286	0	0	0	0	0	0	0	2.857142857	0	0	24.28571429	0	1.428571429	0	0	0	2.857142857	0	0	0	0	0	1.428571429	0	0	0
protist_Zotu115	0	84.28571429	5.714285714	64.28571429	0	30	0	2.857142857	0	30	10	0	4.285714286	48.57142857	20	0	4.285714286	15.71428571	1.428571429	0	0	0	2.857142857	0	0	12.85714286	0	0	1.428571429	7.142857143	0	0	0	1.428571429	0	0	0	5.714285714	0	0	0	1.428571429	0	0	0	7.142857143	0	0	0	198.5714286	0	5.714285714	0	0	0	4.285714286	14.28571429	15.71428571	2.857142857	721.4285714	0	118.5714286	4.285714286	24.28571429	35.71428571	0	0	4.285714286	275.7142857	4.285714286	731.4285714	0	24.28571429	2.857142857	0	4.285714286	42.85714286	0	4.285714286	0	20	0	0	0	1.428571429	0	0	0	21.42857143	1.428571429	0	1.428571429	17.14285714	0	0	0	1.428571429	0	0	0	2.857142857	0	1.428571429	1.428571429	5.714285714	0	0
protist_Zotu403	1.428571429	0	0	255.7142857	0	1.428571429	0	505.7142857	0	0	0	0	2.857142857	0	2.857142857	1.428571429	1.428571429	1.428571429	0	15.71428571	0	0	0	0	2.857142857	0	0	0	0	0	0	0	11.42857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.857142857	1.428571429	0	0	0	1.428571429	0	0	0	0	0	0	0	1.428571429	1.428571429	0	0	1.428571429	18.57142857	1.428571429	0	1.428571429	1.428571429	12.85714286	44.28571429	7.142857143	7.142857143	0	32.85714286	0	4.285714286	0	5.714285714	7.142857143	0	0	14.28571429	0	1.428571429	0	11.42857143	7.142857143	1.428571429	0	1.428571429	2.857142857	0	1.428571429	30	0	0	2.857142857	2.857142857	4.285714286	1.428571429	0	0
