allGfishSid	Sample	Value
id100	SKLKW2Nov	2
id100	SKLKW3Aug	6
id100	SKLKW3Feb	5
id100	SKLKW3May	0
id100	SKLKW3Nov	0
id100	SKSha1Aug	1
id100	SKSha1Feb	0
id100	SKSha1May	32
id100	SKSha1Nov	4
id100	SKSha2Aug	0
id100	SKSha2Feb	0
id100	SKSha2May	5
id100	SKSha2Nov	0
id100	SKSha3Aug	0
id100	SKSha3Feb	0
id100	SKSha3May	996
id100	SKSha3Nov	0
id101	HKBea1Aug	3
id101	HKBea1Feb	0
id101	HKBea1May	0
id101	HKBea1Nov	0
id101	HKBea2Aug	0
id101	HKBea2Feb	0
id101	HKBea2May	0
id101	HKBea2Nov	0
id101	HKBea3Aug	0
id101	HKBea3Feb	0
id101	HKBea3May	8
id101	HKBea3Nov	0
id101	HKSta1Aug	9
id101	HKSta1Feb	0
id101	HKSta1May	0
id101	HKSta1Nov	0
id101	HKSta2Aug	6
id101	HKSta2Feb	0
id101	HKSta2May	0
id101	HKSta2Nov	0
id101	HKSta3Aug	7
id101	HKSta3Feb	0
id101	HKSta3May	0
id101	HKSta3Nov	0
id101	HKSW1Aug	2
id101	HKSW1Feb	0
id101	HKSW1May	0
id101	HKSW1Nov	0
id101	HKSW2Aug	0
id101	HKSW2Feb	0
id101	HKSW2May	3178
id101	HKSW2Nov	0
id101	HKSW3Aug	0
id101	HKSW3Feb	0
id101	HKSW3May	4
id101	HKSW3Nov	0
id101	LTCC1Aug	0
id101	LTCC1Feb	0
id101	LTCC1May	1
id101	LTCC1Nov	0
id101	LTCC2Aug	0
id101	LTCC2Feb	0
id101	LTCC2May	0
id101	LTCC2Nov	0
id101	LTCC3Aug	0
id101	LTCC3Feb	0
id101	LTCC3May	0
id101	LTCC3Nov	0
id101	LTCMW1Aug	0
id101	LTCMW1Feb	0
id101	LTCMW1May	0
id101	LTCMW1Nov	0
id101	LTCMW2Aug	0
id101	LTCMW2Feb	0
id101	LTCMW2May	0
id101	LTCMW2Nov	0
id101	LTCMW3Aug	0
id101	LTCMW3Feb	0
id101	LTCMW3May	0
id101	LTCMW3Nov	0
id101	LTPC1Aug	0
id101	LTPC1Feb	0
id101	LTPC1May	0
id101	LTPC1Nov	0
id101	LTPC2Aug	0
id101	LTPC2May	0
id101	LTPC2Nov	0
id101	LTPC3Aug	0
id101	LTPC3Feb	0
id101	LTPC3May	5
id101	LTPC3Nov	0
id101	SKBlu1Aug	0
id101	SKBlu1Feb	0
id101	SKBlu1May	0
id101	SKBlu1Nov	0
id101	SKBlu2Aug	0
id101	SKBlu2Feb	0
id101	SKBlu2May	0
id101	SKBlu2Nov	0
id101	SKBlu3Aug	0
id101	SKBlu3Feb	0
id101	SKBlu3May	0
id101	SKBlu3Nov	0
id101	SKLKW1Aug	0
id101	SKLKW1Feb	3
id101	SKLKW1May	0
id101	SKLKW1Nov	0
id101	SKLKW2Aug	0
id101	SKLKW2Feb	0
id101	SKLKW2May	0
id101	SKLKW2Nov	0
id101	SKLKW3Aug	0
id101	SKLKW3Feb	0
id101	SKLKW3May	0
id101	SKLKW3Nov	0
id101	SKSha1Aug	0
id101	SKSha1Feb	0
id101	SKSha1May	0
id101	SKSha1Nov	0
id101	SKSha2Aug	0
id101	SKSha2Feb	0
id101	SKSha2May	390
id101	SKSha2Nov	0
id101	SKSha3Aug	0
id101	SKSha3Feb	3
id101	SKSha3May	12
id101	SKSha3Nov	0
id102	HKBea1Aug	103
id102	HKBea1Feb	98
id102	HKBea1May	63
id102	HKBea1Nov	0
id102	HKBea2Aug	78
id102	HKBea2Feb	8
id102	HKBea2May	119
id102	HKBea2Nov	0
id102	HKBea3Aug	0
id102	HKBea3Feb	158
id102	HKBea3May	11
id102	HKBea3Nov	26
id102	HKSta1Aug	419
id102	HKSta1Feb	90
id102	HKSta1May	1430
id102	HKSta1Nov	97
id102	HKSta2Aug	11
id102	HKSta2Feb	941
id102	HKSta2May	21
id102	HKSta2Nov	0
id102	HKSta3Aug	56
id102	HKSta3Feb	0
id102	HKSta3May	2468
id102	HKSta3Nov	139
id102	HKSW1Aug	2200
id102	HKSW1Feb	7489
id102	HKSW1May	0
id102	HKSW1Nov	0
id102	HKSW2Aug	1049
id102	HKSW2Feb	249
id102	HKSW2May	9
id102	HKSW2Nov	40
id102	HKSW3Aug	245
id102	HKSW3Feb	1
id102	HKSW3May	1413
id102	HKSW3Nov	110
id102	LTCC1Aug	113
id102	LTCC1Feb	151
id102	LTCC1May	20
id102	LTCC1Nov	0
id102	LTCC2Aug	1167
id102	LTCC2Feb	2
id102	LTCC2May	48
id102	LTCC2Nov	0
id102	LTCC3Aug	133
id102	LTCC3Feb	199
id102	LTCC3May	7
id102	LTCC3Nov	78
id102	LTCMW1Aug	140
id102	LTCMW1Feb	7
id102	LTCMW1May	126
id102	LTCMW1Nov	0
id102	LTCMW2Aug	11
id102	LTCMW2Feb	29
id102	LTCMW2May	244
id102	LTCMW2Nov	0
id102	LTCMW3Aug	1073
id102	LTCMW3Feb	32
id102	LTCMW3May	19
id102	LTCMW3Nov	1775
id102	LTPC1Aug	262
id102	LTPC1Feb	1460
id102	LTPC1May	2
id102	LTPC1Nov	0
id102	LTPC2Aug	5284
id102	LTPC2May	1311
id102	LTPC2Nov	2
id102	LTPC3Aug	2764
id102	LTPC3Feb	1794
id102	LTPC3May	132
id102	LTPC3Nov	0
id102	SKBlu1Aug	2
id102	SKBlu1Feb	11
id102	SKBlu1May	21
id102	SKBlu1Nov	0
id102	SKBlu2Aug	581
id102	SKBlu2Feb	122
id102	SKBlu2May	11
id102	SKBlu2Nov	47
id102	SKBlu3Aug	0
id102	SKBlu3Feb	54
id102	SKBlu3May	7
id102	SKBlu3Nov	0
id102	SKLKW1Aug	1
id102	SKLKW1Feb	34
id102	SKLKW1May	1089
id102	SKLKW1Nov	0
id102	SKLKW2Aug	2
id102	SKLKW2Feb	3174
id102	SKLKW2May	139
id102	SKLKW2Nov	9
id102	SKLKW3Aug	8
id102	SKLKW3Feb	7
id102	SKLKW3May	11
id102	SKLKW3Nov	0
id102	SKSha1Aug	129
id102	SKSha1Feb	17
id102	SKSha1May	0
id102	SKSha1Nov	0
id102	SKSha2Aug	0
id102	SKSha2Feb	122
id102	SKSha2May	16
id102	SKSha2Nov	0
id102	SKSha3Aug	0
id102	SKSha3Feb	18
id102	SKSha3May	145
id102	SKSha3Nov	0
id103	HKBea1Aug	0
id103	HKBea1Feb	0
id103	HKBea1May	0
id103	HKBea1Nov	0
id103	HKBea2Aug	0
id103	HKBea2Feb	0
id103	HKBea2May	0
id103	HKBea2Nov	0
id103	HKBea3Aug	0
id103	HKBea3Feb	0
id103	HKBea3May	0
id103	HKBea3Nov	0
id103	HKSta1Aug	0
id103	HKSta1Feb	0
id103	HKSta1May	0
id103	HKSta1Nov	0
id103	HKSta2Aug	0
id103	HKSta2Feb	0
id103	HKSta2May	0
id103	HKSta2Nov	0
id103	HKSta3Aug	0
id103	HKSta3Feb	0
id103	HKSta3May	0
id103	HKSta3Nov	0
id103	HKSW1Aug	0
id103	HKSW1Feb	0
id103	HKSW1May	0
id103	HKSW1Nov	0
id103	HKSW2Aug	0
id103	HKSW2Feb	0
id103	HKSW2May	0
id103	HKSW2Nov	0
id103	HKSW3Aug	0
id103	HKSW3Feb	0
id103	HKSW3May	0
id103	HKSW3Nov	0
id103	LTCC1Aug	0
id103	LTCC1Feb	0
id103	LTCC1May	0
id103	LTCC1Nov	0
id103	LTCC2Aug	0
id103	LTCC2Feb	0
id103	LTCC2May	0
id103	LTCC2Nov	0
id103	LTCC3Aug	0
id103	LTCC3Feb	0
id103	LTCC3May	0
id103	LTCC3Nov	0
id103	LTCMW1Aug	0
id103	LTCMW1Feb	0
id103	LTCMW1May	0
id103	LTCMW1Nov	0
id103	LTCMW2Aug	0
id103	LTCMW2Feb	0
id103	LTCMW2May	0
id103	LTCMW2Nov	0
id103	LTCMW3Aug	0
id103	LTCMW3Feb	0
id103	LTCMW3May	0
id103	LTCMW3Nov	0
id103	LTPC1Aug	0
id103	LTPC1Feb	0
id103	LTPC1May	0
id103	LTPC1Nov	0
id103	LTPC2Aug	0
id103	LTPC2May	0
id103	LTPC2Nov	0
id103	LTPC3Aug	0
id103	LTPC3Feb	0
id103	LTPC3May	0
id103	LTPC3Nov	0
id103	SKBlu1Aug	0
id103	SKBlu1Feb	0
id103	SKBlu1May	0
id103	SKBlu1Nov	0
id103	SKBlu2Aug	0
id103	SKBlu2Feb	0
id103	SKBlu2May	0
id103	SKBlu2Nov	0
id103	SKBlu3Aug	0
id103	SKBlu3Feb	0
id103	SKBlu3May	0
id103	SKBlu3Nov	0
id103	SKLKW1Aug	0
id103	SKLKW1Feb	0
id103	SKLKW1May	0
id103	SKLKW1Nov	0
id103	SKLKW2Aug	1
id103	SKLKW2Feb	0
id103	SKLKW2May	0
id103	SKLKW2Nov	0
id103	SKLKW3Aug	0
id103	SKLKW3Feb	0
id103	SKLKW3May	0
id103	SKLKW3Nov	0
id103	SKSha1Aug	0
id103	SKSha1Feb	0
id103	SKSha1May	0
id103	SKSha1Nov	5873
id103	SKSha2Aug	0
id103	SKSha2Feb	0
id103	SKSha2May	0
id103	SKSha2Nov	7
id103	SKSha3Aug	0
id103	SKSha3Feb	0
id103	SKSha3May	0
id103	SKSha3Nov	0
id104	HKBea1Aug	12
id104	HKBea1Feb	0
id104	HKBea1May	0
id104	HKBea1Nov	0
id104	HKBea2Aug	0
id104	HKBea2Feb	0
id104	HKBea2May	0
id104	HKBea2Nov	0
id104	HKBea3Aug	0
id104	HKBea3Feb	0
id104	HKBea3May	0
id104	HKBea3Nov	0
id104	HKSta1Aug	14
id104	HKSta1Feb	0
id104	HKSta1May	0
id104	HKSta1Nov	0
id104	HKSta2Aug	8
id104	HKSta2Feb	0
id104	HKSta2May	0
id104	HKSta2Nov	0
id104	HKSta3Aug	17
id104	HKSta3Feb	0
id104	HKSta3May	0
id104	HKSta3Nov	0
id104	HKSW1Aug	14
id104	HKSW1Feb	0
id104	HKSW1May	0
id104	HKSW1Nov	0
id104	HKSW2Aug	0
id104	HKSW2Feb	0
id104	HKSW2May	0
id104	HKSW2Nov	0
id104	HKSW3Aug	0
id104	HKSW3Feb	0
id104	HKSW3May	0
id104	HKSW3Nov	0
id104	LTCC1Aug	1
id104	LTCC1Feb	0
id104	LTCC1May	10
id104	LTCC1Nov	0
id104	LTCC2Aug	0
id104	LTCC2Feb	0
id104	LTCC2May	0
id104	LTCC2Nov	0
id104	LTCC3Aug	0
id104	LTCC3Feb	0
id104	LTCC3May	0
id104	LTCC3Nov	0
id104	LTCMW1Aug	0
id104	LTCMW1Feb	0
id104	LTCMW1May	0
id104	LTCMW1Nov	0
id104	LTCMW2Aug	0
id104	LTCMW2Feb	0
id104	LTCMW2May	0
id104	LTCMW2Nov	0
id104	LTCMW3Aug	17
id104	LTCMW3Feb	0
id104	LTCMW3May	0
id104	LTCMW3Nov	0
id104	LTPC1Aug	0
id104	LTPC1Feb	0
id104	LTPC1May	0
id104	LTPC1Nov	0
id104	LTPC2Aug	0
id104	LTPC2May	0
id104	LTPC2Nov	0
id104	LTPC3Aug	1
id104	LTPC3Feb	0
id104	LTPC3May	22
id104	LTPC3Nov	0
id104	SKBlu1Aug	0
id104	SKBlu1Feb	0
id104	SKBlu1May	0
id104	SKBlu1Nov	0
id104	SKBlu2Aug	0
id104	SKBlu2Feb	0
id104	SKBlu2May	0
id104	SKBlu2Nov	0
id104	SKBlu3Aug	0
id104	SKBlu3Feb	0
id104	SKBlu3May	0
id104	SKBlu3Nov	0
id104	SKLKW1Aug	0
id104	SKLKW1Feb	0
id104	SKLKW1May	0
id104	SKLKW1Nov	0
id104	SKLKW2Aug	0
id104	SKLKW2Feb	0
id104	SKLKW2May	0
id104	SKLKW2Nov	0
id104	SKLKW3Aug	0
id104	SKLKW3Feb	0
id104	SKLKW3May	0
id104	SKLKW3Nov	0
id104	SKSha1Aug	0
id104	SKSha1Feb	0
id104	SKSha1May	0
id104	SKSha1Nov	0
id104	SKSha2Aug	0
id104	SKSha2Feb	0
id104	SKSha2May	634
id104	SKSha2Nov	0
id104	SKSha3Aug	0
id104	SKSha3Feb	0
id104	SKSha3May	37
id104	SKSha3Nov	0
id105	HKBea1Aug	0
id105	HKBea1Feb	0
id105	HKBea1May	0
id105	HKBea1Nov	0
id105	HKBea2Aug	0
id105	HKBea2Feb	0
id105	HKBea2May	0
id105	HKBea2Nov	0
id105	HKBea3Aug	0
id105	HKBea3Feb	0
id105	HKBea3May	16090
id105	HKBea3Nov	0
id105	HKSta1Aug	8
id105	HKSta1Feb	0
id105	HKSta1May	0
id105	HKSta1Nov	0
id105	HKSta2Aug	0
id105	HKSta2Feb	0
id105	HKSta2May	0
id105	HKSta2Nov	0
id105	HKSta3Aug	0
id105	HKSta3Feb	0
id105	HKSta3May	0
id105	HKSta3Nov	0
id105	HKSW1Aug	15
id105	HKSW1Feb	0
id105	HKSW1May	0
id105	HKSW1Nov	0
id105	HKSW2Aug	5
id105	HKSW2Feb	0
id105	HKSW2May	66
id105	HKSW2Nov	0
id105	HKSW3Aug	735
id105	HKSW3Feb	10
id105	HKSW3May	491
id105	HKSW3Nov	0
id105	LTCC1Aug	10
id105	LTCC1Feb	0
id105	LTCC1May	0
id105	LTCC1Nov	0
id105	LTCC2Aug	3
id105	LTCC2Feb	0
id105	LTCC2May	0
id105	LTCC2Nov	0
id105	LTCC3Aug	10
id105	LTCC3Feb	0
id105	LTCC3May	0
id105	LTCC3Nov	0
id105	LTCMW1Aug	1
id105	LTCMW1Feb	0
id105	LTCMW1May	0
id105	LTCMW1Nov	0
id105	LTCMW2Aug	4
id105	LTCMW2Feb	0
id105	LTCMW2May	0
id105	LTCMW2Nov	0
id105	LTCMW3Aug	0
id105	LTCMW3Feb	0
id105	LTCMW3May	0
id105	LTCMW3Nov	0
id105	LTPC1Aug	0
id105	LTPC1Feb	0
id105	LTPC1May	0
id105	LTPC1Nov	0
id105	LTPC2Aug	1
id105	LTPC2May	0
id105	LTPC2Nov	0
id105	LTPC3Aug	0
id105	LTPC3Feb	0
id105	LTPC3May	0
id105	LTPC3Nov	0
id105	SKBlu1Aug	0
id105	SKBlu1Feb	0
id105	SKBlu1May	0
id105	SKBlu1Nov	0
id105	SKBlu2Aug	0
id105	SKBlu2Feb	0
id105	SKBlu2May	0
id105	SKBlu2Nov	0
id105	SKBlu3Aug	0
id105	SKBlu3Feb	0
id105	SKBlu3May	0
id105	SKBlu3Nov	0
id105	SKLKW1Aug	0
id105	SKLKW1Feb	0
id105	SKLKW1May	0
id105	SKLKW1Nov	0
id105	SKLKW2Aug	0
id105	SKLKW2Feb	0
id105	SKLKW2May	7
id105	SKLKW2Nov	0
id105	SKLKW3Aug	0
id105	SKLKW3Feb	0
id105	SKLKW3May	0
id105	SKLKW3Nov	0
id105	SKSha1Aug	0
id105	SKSha1Feb	11
id105	SKSha1May	0
id105	SKSha1Nov	0
id105	SKSha2Aug	0
id105	SKSha2Feb	0
id105	SKSha2May	0
id105	SKSha2Nov	0
id105	SKSha3Aug	0
id105	SKSha3Feb	0
id105	SKSha3May	1
id105	SKSha3Nov	0
id106	HKBea1Aug	0
id106	HKBea1Feb	0
id106	HKBea1May	0
id106	HKBea1Nov	0
id106	HKBea2Aug	0
id106	HKBea2Feb	0
id106	HKBea2May	0
id106	HKBea2Nov	0
id106	HKBea3Aug	0
id106	HKBea3Feb	0
id106	HKBea3May	0
id106	HKBea3Nov	0
id106	HKSta1Aug	0
id106	HKSta1Feb	0
id106	HKSta1May	0
id106	HKSta1Nov	0
id106	HKSta2Aug	0
id106	HKSta2Feb	3
id106	HKSta2May	0
id106	HKSta2Nov	0
id106	HKSta3Aug	0
id106	HKSta3Feb	0
id106	HKSta3May	0
id106	HKSta3Nov	0
id106	HKSW1Aug	0
id106	HKSW1Feb	0
id106	HKSW1May	0
id106	HKSW1Nov	0
id106	HKSW2Aug	0
id106	HKSW2Feb	0
id106	HKSW2May	0
id106	HKSW2Nov	0
id106	HKSW3Aug	0
id106	HKSW3Feb	0
id106	HKSW3May	0
id106	HKSW3Nov	0
id106	LTCC1Aug	0
id106	LTCC1Feb	2
id106	LTCC1May	7
id106	LTCC1Nov	0
id106	LTCC2Aug	0
id106	LTCC2Feb	0
id106	LTCC2May	0
id106	LTCC2Nov	0
id106	LTCC3Aug	0
id106	LTCC3Feb	0
id106	LTCC3May	5
id106	LTCC3Nov	0
id106	LTCMW1Aug	1
id106	LTCMW1Feb	0
id106	LTCMW1May	0
id106	LTCMW1Nov	11
id106	LTCMW2Aug	0
id106	LTCMW2Feb	0
id106	LTCMW2May	0
id106	LTCMW2Nov	0
id106	LTCMW3Aug	0
id106	LTCMW3Feb	0
id106	LTCMW3May	0
id106	LTCMW3Nov	0
id106	LTPC1Aug	0
id106	LTPC1Feb	0
id106	LTPC1May	1791
id106	LTPC1Nov	0
id106	LTPC2Aug	0
id106	LTPC2May	0
id106	LTPC2Nov	0
id106	LTPC3Aug	0
id106	LTPC3Feb	1776
id106	LTPC3May	0
id106	LTPC3Nov	0
id106	SKBlu1Aug	0
id106	SKBlu1Feb	9
id106	SKBlu1May	0
id106	SKBlu1Nov	0
id106	SKBlu2Aug	0
id106	SKBlu2Feb	21
id106	SKBlu2May	0
id106	SKBlu2Nov	0
id106	SKBlu3Aug	0
id106	SKBlu3Feb	11
id106	SKBlu3May	2
id106	SKBlu3Nov	0
id106	SKLKW1Aug	0
id106	SKLKW1Feb	41
id106	SKLKW1May	0
id106	SKLKW1Nov	0
id106	SKLKW2Aug	0
id106	SKLKW2Feb	0
id106	SKLKW2May	0
id106	SKLKW2Nov	0
id106	SKLKW3Aug	0
id106	SKLKW3Feb	11
id106	SKLKW3May	0
id106	SKLKW3Nov	0
id106	SKSha1Aug	0
id106	SKSha1Feb	0
id106	SKSha1May	0
id106	SKSha1Nov	0
id106	SKSha2Aug	0
id106	SKSha2Feb	1
id106	SKSha2May	0
id106	SKSha2Nov	0
id106	SKSha3Aug	0
id106	SKSha3Feb	0
id106	SKSha3May	0
id106	SKSha3Nov	0
id107	HKBea1Aug	0
id107	HKBea1Feb	0
id107	HKBea1May	0
id107	HKBea1Nov	0
id107	HKBea2Aug	0
id107	HKBea2Feb	0
id107	HKBea2May	0
id107	HKBea2Nov	0
id107	HKBea3Aug	0
id107	HKBea3Feb	0
id107	HKBea3May	0
id107	HKBea3Nov	0
id107	HKSta1Aug	0
id107	HKSta1Feb	0
id107	HKSta1May	0
id107	HKSta1Nov	0
id107	HKSta2Aug	0
id107	HKSta2Feb	0
id107	HKSta2May	0
id107	HKSta2Nov	0
id107	HKSta3Aug	0
id107	HKSta3Feb	0
id107	HKSta3May	0
id107	HKSta3Nov	0
id107	HKSW1Aug	0
id107	HKSW1Feb	0
id107	HKSW1May	0
id107	HKSW1Nov	0
id107	HKSW2Aug	0
id107	HKSW2Feb	0
id107	HKSW2May	0
id107	HKSW2Nov	0
id107	HKSW3Aug	0
id107	HKSW3Feb	0
id107	HKSW3May	0
id107	HKSW3Nov	0
id107	LTCC1Aug	0
id107	LTCC1Feb	0
id107	LTCC1May	0
id107	LTCC1Nov	0
id107	LTCC2Aug	0
id107	LTCC2Feb	0
id107	LTCC2May	0
